"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","-2.69","16146340","5060","3187","5060","3187"
"2025-09-17","0","5011165","5200","972","5200","972"
"2025-09-16","-1.7","5147525","5200","1003","5200","1003"
"2025-09-15","-0.19","514470","5290","101","5290","101"
"2025-09-12","3.01","28127970","5300","5375","5300","5375"
"2025-09-11","-1.34","5389145","5145","1075","5145","1075"
"2025-09-10","-1.51","3877740","5215","744","5215","744"
"2025-09-09","-0.09","1788730","5295","343","5295","343"
"2025-09-08","0","18629400","5300","3644","5300","3644"
"2025-09-05","1.63","8452295","5300","1616","5300","1616"
"2025-09-03","-1.7","1469005","5215","282","5215","282"
"2025-09-02","1.73","17608580","5305","3338","5305","3338"
"2025-09-01","0","6139445","5215","1182","5215","1182"
"2025-08-29","0.68","9617225","5215","1854","5215","1854"
"2025-08-28","0","2377930","5180","462","5180","462"
"2025-08-27","0","9163980","5180","1783","5180","1783"
"2025-08-26","-0.38","6850160","5180","1329","5180","1329"
"2025-08-25","0","5563940","5200","1071","5200","1071"
"2025-08-22","0","1760925","5200","339","5200","339"
"2025-08-21","0","4631255","5200","892","5200","892"
"2025-08-20","-0.57","4769325","5200","918","5200","918"
"2025-08-19","0","4169995","5230","806","5230","806"
"2025-08-18","-0.19","4751640","5230","915","5230","915"
"2025-08-14","0.77","4464325","5240","866","5240","866"
"2025-08-13","-0.86","8236330","5200","1621","5200","1621"
"2025-08-12","-0.1","1324150","5245","253","5245","253"
"2025-08-11","0","20520100","5250","4028","5250","4028"
"2025-08-08","0","34646530","5250","6989","5250","6989"
"2025-08-06","-0.94","5762850","5250","1097","5250","1097"
"2025-08-05","0.95","7206605","5300","1368","5300","1368"
"2025-08-04","-0.57","1566235","5250","298","5250","298"
"2025-08-01","-0.38","538580","5280","102","5280","102"
"2025-07-31","-1.12","4067985","5300","764","5300","764"
"2025-07-30","0","3313665","5360","619","5360","619"
"2025-07-29","1.13","3819005","5360","714","5360","714"
"2025-07-28","0","8182175","5300","1533","5300","1533"
"2025-07-25","-1.85","840935","5300","158","5300","158"
"2025-07-24","-1.73","827275","5400","152","5400","152"
"2025-07-23","3.78","15765010","5495","2957","5495","2957"
"2025-07-22","0.47","4065625","5295","770","5295","770"
"2025-07-21","0.09","24884295","5270","4727","5270","4727"
"2025-07-18","0.29","3101305","5265","596","5265","596"
"2025-07-17","-0.1","23231060","5250","4477","5250","4477"
"2025-07-16","0","5159935","5255","980","5255","980"
"2025-07-15","-0.66","1265045","5255","244","5255","244"
"2025-07-14","-1.12","2047745","5290","390","5290","390"
"2025-07-11","2.1","34998390","5350","6666","5350","6666"
"2025-07-10","-0.19","5041315","5240","962","5240","962"
"2025-07-09","1.94","37775155","5250","7236","5250","7236"
"2025-07-08","-0.96","61382035","5150","12302","5150","12302"
"2025-07-07","0","7201460","5200","1392","5200","1392"
"2025-07-04","-0.95","22168780","5200","4331","5200","4331"
"2025-07-03","-0.66","2999150","5250","571","5250","571"
"2025-07-02","-0.19","9542795","5285","1838","5285","1838"
"2025-07-01","-0.84","28319020","5295","5640","5295","5640"
"2025-06-30","-1.93","37753725","5340","7468","5340","7468"
"2025-06-27","-1","30386710","5445","5610","5445","5610"
"2025-06-26","0.92","16050645","5500","2932","5500","2932"
"2025-06-25","-0.91","3587820","5450","663","5450","663"
"2025-06-24","-1.7","12207420","5500","2198","5500","2198"
"2025-06-23","-0.09","8202515","5595","1468","5595","1468"
"2025-06-20","0.09","11962550","5600","2138","5600","2138"
"2025-06-19","1.73","20265200","5595","3675","5595","3675"
"2025-06-18","0","9865905","5500","1794","5500","1794"
"2025-06-17","-1.79","10282055","5500","1854","5500","1854"
"2025-06-16","0.09","2376440","5600","433","5600","433"
"2025-06-13","0.81","6341095","5595","1143","5595","1143"
"2025-06-12","-0.89","2449460","5550","446","5550","446"
"2025-06-11","-2.27","19253445","5600","3273","5600","3273"
"2025-06-10","7.1","62370340","5730","11541","5730","11541"
"2025-06-05","0.19","11527840","5350","2156","5350","2156"
"2025-06-04","-0.19","6864790","5340","1287","5340","1287"
"2025-06-03","0","3190350","5350","601","5350","601"
"2025-06-02","0","6786335","5350","1289","5350","1289"
"2025-05-30","-0.09","10263090","5350","1938","5350","1938"
"2025-05-28","0.09","9460595","5355","1762","5355","1762"
"2025-05-27","0.94","4158570","5350","790","5350","790"
"2025-05-26","0","86615695","5300","16339","5300","16339"
"2025-05-23","1.44","31763320","5300","6088","5300","6088"
"2025-05-22","-1.97","16412205","5225","3145","5225","3145"
"2025-05-21","-0.19","13535220","5330","2541","5330","2541"
"2025-05-20","-1.02","5283455","5340","989","5340","989"
"2025-05-19","-1.01","4295325","5395","796","5395","796"
"2025-05-16","0.93","28326745","5450","5256","5450","5256"
"2025-05-15","0","1965600","5400","364","5400","364"
"2025-05-14","0","17196950","5400","3186","5400","3186"
"2025-05-13","-0.92","17075950","5400","3164","5400","3164"
"2025-05-12","-2.59","4746900","5450","876","5450","876"
"2025-05-09","7.18","66027135","5595","11998","5595","11998"
"2025-05-08","-2.43","70124065","5220","12670","5220","12670"
"2025-05-07","-0.74","11141925","5350","2069","5350","2069"
"2025-05-06","0.75","14230880","5390","2640","5390","2640"
"2025-05-05","-4.46","3283605","5350","606","5350","606"
"2025-05-02","1.91","63771790","5600","11767","5600","11767"
"2025-04-30","-2.05","4925890","5495","897","5495","897"
"2025-04-29","0.18","28141710","5610","5036","5610","5036"
"2025-04-28","","27907400","5600","4977","5600","4977"
