"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","7.24","2473705","1555","1681","1555","1681"
"2025-09-17","0","3095615","1450","2092","1450","2092"
"2025-09-16","-3.01","3865850","1450","2621","1450","2621"
"2025-09-15","6.79","7393875","1495","5256","1495","5256"
"2025-09-12","-6.35","5287305","1400","3775","1400","3775"
"2025-09-11","-0.99","7827965","1495","5512","1495","5512"
"2025-09-10","-7.36","7416695","1510","4866","1510","4866"
"2025-09-09","-7.39","15699750","1630","9489","1630","9489"
"2025-09-08","0","516300","1760","307","1760","307"
"2025-09-05","-1.12","1147580","1760","655","1760","655"
"2025-09-03","1.71","1300355","1780","744","1780","744"
"2025-09-02","-1.96","9086770","1750","5394","1750","5394"
"2025-09-01","0.28","295715","1785","165","1785","165"
"2025-08-29","-1.11","1483900","1780","831","1780","831"
"2025-08-28","-4.76","848455","1800","461","1800","461"
"2025-08-27","6.18","2586280","1890","1429","1890","1429"
"2025-08-26","-6.32","4428195","1780","2447","1780","2447"
"2025-08-25","0","810595","1900","434","1900","434"
"2025-08-22","-2.81","20921675","1900","10912","1900","10912"
"2025-08-21","2.62","12786065","1955","6555","1955","6555"
"2025-08-20","6.72","18048430","1905","9468","1905","9468"
"2025-08-19","7.21","11259945","1785","6728","1785","6728"
"2025-08-18","7.07","582690","1665","359","1665","359"
"2025-08-14","0.32","8480585","1555","5308","1555","5308"
"2025-08-13","3.33","163355","1550","109","1550","109"
"2025-08-12","0","5230650","1500","3475","1500","3475"
"2025-08-11","7.14","3383775","1500","2258","1500","2258"
"2025-08-08","2.19","5442095","1400","3905","1400","3905"
"2025-08-06","2.24","199810","1370","153","1370","153"
"2025-08-05","7.2","1618675","1340","1210","1340","1210"
"2025-08-04","-3.85","781810","1250","607","1250","607"
"2025-08-01","0","143045","1300","108","1300","108"
"2025-07-31","3.59","32275","1300","25","1300","25"
"2025-07-30","1.21","100235","1255","78","1255","78"
"2025-07-29","-7.12","15093990","1240","11747","1240","11747"
"2025-07-28","4.71","753510","1335","589","1335","589"
"2025-07-25","-2.67","6300945","1275","5025","1275","5025"
"2025-07-24","-2.24","3937220","1310","3020","1310","3020"
"2025-07-23","7.2","477230","1340","366","1340","366"
"2025-07-22","-7.41","521050","1250","396","1250","396"
"2025-07-21","0.37","162330","1350","120","1350","120"
"2025-07-18","3.46","344945","1345","265","1345","265"
"2025-07-17","7.44","1073460","1300","826","1300","826"
"2025-07-16","-6.92","3637425","1210","3013","1210","3013"
"2025-07-15","-6.81","375615","1300","285","1300","285"
"2025-07-14","5.28","426475","1395","312","1395","312"
"2025-07-11","4.74","202700","1325","153","1325","153"
"2025-07-10","0","866480","1265","685","1265","685"
"2025-07-09","-2.69","11245","1265","9","1265","9"
"2025-07-08","-7.14","1388660","1300","967","1300","967"
"2025-07-07","6.06","646580","1400","477","1400","477"
"2025-07-04","7.32","1520805","1320","1194","1320","1194"
"2025-07-03","2.5","253255","1230","211","1230","211"
"2025-07-02","4.35","756340","1200","631","1200","631"
"2025-07-01","-4.17","1554040","1150","1351","1150","1351"
"2025-06-30","-2.04","911025","1200","756","1200","756"
"2025-06-27","0","189875","1225","155","1225","155"
"2025-06-26","2.08","447675","1225","374","1225","374"
"2025-06-25","0.42","45480","1200","38","1200","38"
"2025-06-24","0","525760","1195","441","1195","441"
"2025-06-23","3.02","31460","1195","27","1195","27"
"2025-06-20","-2.52","1103995","1160","942","1160","942"
"2025-06-19","4.85","542815","1190","470","1190","470"
"2025-06-18","0","20201525","1135","17899","1135","17899"
"2025-06-17","0","1322940","1135","1165","1135","1165"
"2025-06-16","-0.44","261935","1135","227","1135","227"
"2025-06-13","0","126540","1140","111","1140","111"
"2025-06-12","7.04","405815","1140","356","1140","356"
"2025-06-11","-7.39","2748765","1065","2540","1065","2540"
"2025-06-10","1.32","2594255","1150","2286","1150","2286"
"2025-06-05","7.08","1138335","1135","1003","1135","1003"
"2025-06-04","-3.64","190100","1060","173","1060","173"
"2025-06-03","3.77","355080","1100","328","1100","328"
"2025-06-02","-2.75","2267225","1060","2076","1060","2076"
"2025-05-30","-4.8","169650","1090","154","1090","154"
"2025-05-28","0","86950","1145","76","1145","76"
"2025-05-27","0.44","29750","1145","26","1145","26"
"2025-05-26","-0.44","294845","1140","270","1140","270"
"2025-05-23","5.05","14305805","1145","13153","1145","13153"
"2025-05-22","-7.23","136040","1090","117","1090","117"
"2025-05-21","2.62","300250","1175","262","1175","262"
"2025-05-20","0","575060","1145","508","1145","508"
"2025-05-19","7.01","331925","1145","294","1145","294"
"2025-05-16","-7.36","4163940","1070","3882","1070","3882"
"2025-05-15","-3.75","173375","1155","149","1155","149"
"2025-05-14","4.35","925615","1200","762","1200","762"
"2025-05-13","6.98","1599630","1150","1472","1150","1472"
"2025-05-12","7.5","2157000","1075","2148","1075","2148"
"2025-05-09","3.09","8743580","1000","9428","1000","9428"
"2025-05-08","-3","2289620","970","2353","970","2353"
"2025-05-07","-2.44","167940","1000","159","1000","159"
"2025-05-06","2.5","116225","1025","112","1025","112"
"2025-05-05","-1.96","644790","1000","623","1000","623"
"2025-05-02","0","2332010","1020","2334","1020","2334"
"2025-04-30","2.51","20400","1020","20","1020","20"
"2025-04-29","4.74","1121755","995","1128","995","1128"
"2025-04-28","-4.52","979460","950","1028","950","1028"
"2025-04-25","0","355880","995","359","995","359"
"2025-04-24","0.51","15362800","995","15440","995","15440"
"2025-04-23","-0.5","1328750","990","1385","990","1385"
"2025-04-22","-0.5","1410670","995","1451","995","1451"
"2025-04-18","1.01","149555","1000","145","1000","145"
"2025-04-17","0","487080","990","492","990","492"
"2025-04-16","7.03","475025","990","509","990","509"
"2025-04-15","6.94","8775500","925","10136","925","10136"
"2025-04-14","-6.99","388885","865","448","865","448"
"2025-04-11","0.54","250320","930","269","930","269"
"2025-04-10","0","9250","925","10","925","10"
"2025-04-09","-7.5","2836095","925","3014","925","3014"
"2025-04-08","-3.85","210400","1000","210","1000","210"
"2025-04-07","0","10400","1040","10","1040","10"
"2025-04-04","-1.89","1067535","1040","1024","1040","1024"
"2025-04-02","6","69900","1060","67","1060","67"
"2025-04-01","-5.66","1035955","1000","998","1000","998"
"2025-03-28","-0.47","62435","1060","62","1060","62"
"2025-03-26","3.9","1914510","1065","1882","1065","1882"
"2025-03-25","0","11265","1025","11","1025","11"
"2025-03-24","0.49","204275","1025","201","1025","201"
"2025-03-21","-0.49","204000","1020","200","1020","200"
"2025-03-20","0","3052895","1025","2955","1025","2955"
"2025-03-19","-1.91","4024980","1025","3876","1025","3876"
"2025-03-18","1.95","187815","1045","183","1045","183"
"2025-03-17","-3.76","56420","1025","54","1025","54"
"2025-03-14","0","1669060","1065","1593","1065","1593"
"2025-03-13","5.45","315020","1065","310","1065","310"
"2025-03-12","-6.05","108130","1010","103","1010","103"
"2025-03-11","1.9","85275","1075","81","1075","81"
"2025-03-10","-1.86","8125135","1055","8120","1055","8120"
"2025-03-07","-2.27","1190290","1075","1158","1075","1158"
"2025-03-06","-0.9","325500","1100","315","1100","315"
"2025-03-05","0.91","128370","1110","119","1110","119"
"2025-03-04","-0.9","173100","1100","164","1100","164"
"2025-03-03","0","1544880","1110","1486","1110","1486"
"2025-02-28","-0.45","77310","1110","72","1110","72"
"2025-02-27","0.45","3345","1115","3","1115","3"
"2025-02-26","5.71","12720","1110","12","1110","12"
"2025-02-25","0","48210","1050","45","1050","45"
"2025-02-24","0.48","87240","1050","87","1050","87"
"2025-02-21","-0.48","238855","1045","228","1045","228"
"2025-02-20","0","198780","1050","191","1050","191"
"2025-02-19","0.96","124900","1050","120","1050","120"
"2025-02-18","-0.95","104280","1040","102","1040","102"
"2025-02-17","0","118290","1050","113","1050","113"
"2025-02-14","6.06","78630","1050","75","1050","75"
"2025-02-13","-5.26","666920","990","666","990","666"
"2025-02-12","4.5","3227430","1045","3230","1045","3230"
"2025-02-11","1.52","1528000","1000","1513","1000","1513"
"2025-02-10","-7.08","42355","985","43","985","43"
"2025-02-07","3.92","1604515","1060","1539","1060","1539"
"2025-02-06","0","244550","1020","240","1020","240"
"2025-02-05","0","90780","1020","89","1020","89"
"2025-02-04","-0.49","103020","1020","101","1020","101"
"2025-02-03","-0.97","32175","1025","32","1025","32"
"2025-01-31","-0.48","118030","1035","114","1035","114"
"2025-01-30","-0.95","161425","1040","155","1040","155"
"2025-01-29","5","113700","1050","111","1050","111"
"2025-01-28","0","21000","1000","21","1000","21"
"2025-01-27","0","227000","1000","227","1000","227"
"2025-01-24","0","962500","1000","962","1000","962"
"2025-01-23","0.5","443855","1000","444","1000","444"
"2025-01-22","3.65","226860","995","228","995","228"
"2025-01-21","0","252430","960","265","960","265"
"2025-01-20","-4","34085","960","35","960","35"
"2025-01-17","0","23000","1000","23","1000","23"
"2025-01-16","-2.44","18375","1000","18","1000","18"
"2025-01-15","7.33","73825","1025","81","1025","81"
"2025-01-14","-7.28","778290","955","794","955","794"
"2025-01-13","-2.83","229145","1030","232","1030","232"
"2025-01-10","0","25435","1060","24","1060","24"
"2025-01-09","6.53","485680","1060","466","1060","466"
"2025-01-08","-7.44","92365","995","91","995","91"
"2025-01-07","-1.38","33325","1075","31","1075","31"
"2025-01-06","2.35","44095","1090","41","1090","41"
"2025-01-03","0","120685","1065","111","1065","111"
"2024-12-31","7.04","2130","1065","2","1065","2"
"2024-12-30","-7.44","776215","995","779","995","779"
"2024-12-27","7.5","53750","1075","50","1075","50"
"2024-12-26","0","410000","1000","410","1000","410"
"2024-12-23","5.82","75205","1000","79","1000","79"
"2024-12-20","0.53","16065","945","17","945","17"
"2024-12-19","-6","1128240","940","1212","940","1212"
"2024-12-18","-3.85","270450","1000","270","1000","270"
"2024-12-17","-7.14","616300","1040","589","1040","589"
"2024-12-16","-0.44","54175","1120","49","1120","49"
"2024-12-13","0","56250","1125","50","1125","50"
"2024-12-12","0","24705","1125","22","1125","22"
"2024-12-11","-3.02","925975","1125","861","1125","861"
"2024-12-10","0.87","132040","1160","114","1160","114"
"2024-12-09","0","32085","1150","28","1150","28"
"2024-12-06","-0.86","3450","1150","3","1150","3"
"2024-12-05","4.5","1291820","1160","1172","1160","1172"
"2024-12-04","-7.5","263335","1110","224","1110","224"
"2024-12-03","0","87600","1200","73","1200","73"
"2024-12-02","0","212400","1200","177","1200","177"
"2024-11-29","7.14","191100","1200","164","1200","164"
"2024-11-28","0.9","847700","1120","759","1120","759"
"2024-11-27","-0.89","17825","1110","16","1110","16"
