"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","1.84","8633820","4990","1760","4990","1760"
"2025-09-17","1.87","19201660","4900","3923","4900","3923"
"2025-09-16","-0.82","7351660","4810","1519","4810","1519"
"2025-09-15","1.04","3970990","4850","818","4850","818"
"2025-09-12","-1.94","11939885","4800","2442","4800","2442"
"2025-09-11","-0.1","50390040","4895","10594","4895","10594"
"2025-09-10","2.08","23211220","4900","4803","4900","4803"
"2025-09-09","1.05","33413380","4800","6981","4800","6981"
"2025-09-08","0","32585895","4750","6879","4750","6879"
"2025-09-05","-0.94","8172905","4750","1721","4750","1721"
"2025-09-03","4.01","10237005","4795","2153","4795","2153"
"2025-09-02","1.54","18353575","4610","4035","4610","4035"
"2025-09-01","0","8313205","4540","1833","4540","1833"
"2025-08-29","0","3877100","4540","854","4540","854"
"2025-08-28","0.44","3043850","4540","673","4540","673"
"2025-08-27","-0.55","8533170","4520","1887","4520","1887"
"2025-08-26","0.66","11367460","4545","2506","4545","2506"
"2025-08-25","0.11","12146435","4515","2696","4515","2696"
"2025-08-22","0.33","12600375","4510","2796","4510","2796"
"2025-08-21","0.56","11284825","4495","2510","4495","2510"
"2025-08-20","0.56","15662420","4470","3522","4470","3522"
"2025-08-19","1.02","1961080","4445","442","4445","442"
"2025-08-18","0.11","13001865","4400","2955","4400","2955"
"2025-08-14","0","2813225","4395","640","4395","640"
"2025-08-13","0","21246470","4395","4842","4395","4842"
"2025-08-12","1.97","18667875","4395","4285","4395","4285"
"2025-08-11","0.23","2211920","4310","511","4310","511"
"2025-08-08","0","14539180","4300","3379","4300","3379"
"2025-08-06","0","3706540","4300","862","4300","862"
"2025-08-05","0","6431565","4300","1494","4300","1494"
"2025-08-04","-0.35","5511620","4300","1287","4300","1287"
"2025-08-01","-0.12","66126925","4315","15378","4315","15378"
"2025-07-31","2.86","88253585","4320","20523","4320","20523"
"2025-07-30","-1.06","23440410","4200","5650","4200","5650"
"2025-07-29","1.31","3933608055","4245","959244","4245","959244"
"2025-07-28","-2.44","23580535","4190","5702","4190","5702"
"2025-07-25","2.38","57183575","4295","13819","4295","13819"
"2025-07-24","-3.45","19016170","4195","4551","4195","4551"
"2025-07-23","-0.11","14046675","4345","3297","4345","3297"
"2025-07-22","-0.91","61537245","4350","14767","4350","14767"
"2025-07-21","2.09","85107525","4390","20352","4390","20352"
"2025-07-18","0","3884435","4300","890","4300","890"
"2025-07-17","0","4266955","4300","993","4300","993"
"2025-07-16","0.12","11701475","4300","2762","4300","2762"
"2025-07-15","-1.04","22798000","4295","5430","4295","5430"
"2025-07-14","0","35504090","4340","8232","4340","8232"
"2025-07-11","3.09","4411930","4340","1029","4340","1029"
"2025-07-10","0.12","3405385","4210","784","4210","784"
"2025-07-09","-2.21","37377840","4205","8441","4205","8441"
"2025-07-08","-2.49","14123300","4300","3270","4300","3270"
"2025-07-07","0","27788875","4410","6585","4410","6585"
