"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","1.2","1454180","4200","349","4200","349"
"2025-09-17","0.12","38730740","4150","9376","4150","9376"
"2025-09-16","0.24","9684635","4145","2337","4145","2337"
"2025-09-15","2.1","8307180","4135","2015","4135","2015"
"2025-09-12","-1.22","8715035","4050","2153","4050","2153"
"2025-09-11","2.24","3319305","4100","822","4100","822"
"2025-09-10","0.63","13551270","4010","3426","4010","3426"
"2025-09-09","0.89","11846290","3985","2989","3985","2989"
"2025-09-08","0","21189450","3950","5338","3950","5338"
"2025-09-05","1.02","1518970","3950","388","3950","388"
"2025-09-03","0.13","13177525","3910","3387","3910","3387"
"2025-09-02","0.13","7917185","3905","2039","3905","2039"
"2025-09-01","3.72","8276595","3900","2153","3900","2153"
"2025-08-29","-1.05","6312380","3760","1668","3760","1668"
"2025-08-28","-0.65","2195765","3800","579","3800","579"
"2025-08-27","1.86","11988825","3825","3136","3825","3136"
"2025-08-26","-1.96","36612690","3755","9739","3755","9739"
"2025-08-25","2.41","1820015","3830","486","3830","486"
"2025-08-22","1.22","11037385","3740","2984","3740","2984"
"2025-08-21","0.27","11427935","3695","3109","3695","3109"
"2025-08-20","1.66","12812900","3685","3527","3685","3527"
"2025-08-19","0","24372850","3625","6724","3625","6724"
"2025-08-18","0.69","1993775","3625","549","3625","549"
"2025-08-14","1.27","10126360","3600","2843","3600","2843"
"2025-08-13","0.28","7348135","3555","2068","3555","2068"
"2025-08-12","0.71","7306445","3545","2063","3545","2063"
"2025-08-11","0","26396975","3520","7488","3520","7488"
"2025-08-08","-0.85","8352110","3520","2355","3520","2355"
"2025-08-06","0","1182970","3550","333","3550","333"
"2025-08-05","-0.84","1234750","3550","346","3550","346"
"2025-08-04","0.28","67856810","3580","19381","3580","19381"
"2025-08-01","-0.56","93193050","3570","26812","3570","26812"
"2025-07-31","0.56","4661920","3590","1309","3590","1309"
"2025-07-30","0.14","4630690","3570","1298","3570","1298"
"2025-07-29","0.42","23757815","3565","6694","3565","6694"
"2025-07-28","-0.42","17971165","3550","5131","3550","5131"
"2025-07-25","0","16958175","3565","4909","3565","4909"
"2025-07-24","-0.14","7506670","3565","2130","3565","2130"
"2025-07-23","2.44","7361900","3570","2052","3570","2052"
"2025-07-22","0.29","6267350","3485","1810","3485","1810"
"2025-07-21","-0.43","9282890","3475","2659","3475","2659"
"2025-07-18","-0.14","2351635","3490","673","3490","673"
"2025-07-17","0","4770875","3495","1365","3495","1365"
"2025-07-16","0","7758785","3495","2219","3495","2219"
"2025-07-15","0.58","15544565","3495","4453","3495","4453"
"2025-07-14","0","14190700","3475","4083","3475","4083"
"2025-07-11","-0.71","12124680","3475","3468","3475","3468"
"2025-07-10","0.57","3632500","3500","1038","3500","1038"
"2025-07-09","1.75","33246980","3480","9698","3480","9698"
"2025-07-08","0.59","3957055","3420","1156","3420","1156"
"2025-07-07","-2.86","5490850","3400","1590","3400","1590"
"2025-07-04","0","23909850","3500","6853","3500","6853"
"2025-07-03","2.19","3631055","3500","1041","3500","1041"
"2025-07-02","-2.14","9561705","3425","2752","3425","2752"
"2025-07-01","0","22601845","3500","6460","3500","6460"
"2025-06-30","-2.23","9589285","3500","2696","3500","2696"
"2025-06-27","-0.42","2228245","3580","624","3580","624"
"2025-06-26","-0.14","30731490","3595","8896","3595","8896"
"2025-06-25","1.41","3575835","3600","992","3600","992"
"2025-06-24","-5.33","63251285","3550","17697","3550","17697"
"2025-06-23","2.74","5606395","3750","1536","3750","1536"
"2025-06-20","0","3121025","3650","856","3650","856"
"2025-06-19","0","15519125","3650","4283","3650","4283"
"2025-06-18","0","3770450","3650","1033","3650","1033"
"2025-06-17","-3.69","5353550","3650","1460","3650","1460"
"2025-06-16","4.12","21196045","3790","5613","3790","5613"
"2025-06-13","-4.21","48436320","3640","12822","3640","12822"
"2025-06-12","0.26","6611590","3800","1735","3800","1735"
"2025-06-11","-0.26","9914650","3790","2613","3790","2613"
"2025-06-10","1.74","26051545","3800","6982","3800","6982"
"2025-06-05","0","1110615","3735","297","3735","297"
"2025-06-04","2.89","22732595","3735","6213","3735","6213"
"2025-06-03","2.25","3044790","3630","850","3630","850"
"2025-06-02","-1.93","10595020","3550","2958","3550","2958"
"2025-05-30","0.56","4537500","3620","1258","3620","1258"
"2025-05-28","1.55","9913380","3600","2804","3600","2804"
"2025-05-27","1.29","11704445","3545","3340","3545","3340"
"2025-05-26","-2.91","12564795","3500","3516","3500","3516"
"2025-05-23","-1.1","2005775","3605","555","3605","555"
"2025-05-22","1.39","6073185","3645","1687","3645","1687"
"2025-05-21","-0.14","6140775","3595","1746","3595","1746"
