"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","-4.88","26067905","3805","6872","3805","6872"
"2025-09-17","0.13","6268480","4000","1568","4000","1568"
"2025-09-16","0","19126475","3995","4791","3995","4791"
"2025-09-15","1.52","42210645","3995","10630","3995","10630"
"2025-09-12","0.38","16337060","3935","4148","3935","4148"
"2025-09-11","1.82","14572725","3920","3749","3920","3749"
"2025-09-10","4.05","13420610","3850","3582","3850","3582"
"2025-09-09","0.41","27340580","3700","7461","3700","7461"
"2025-09-08","2.36","10357730","3685","2836","3685","2836"
"2025-09-05","-1.77","11605790","3600","3208","3600","3208"
"2025-09-03","0","24939810","3665","6793","3665","6793"
"2025-09-02","2.23","14901100","3665","4118","3665","4118"
"2025-09-01","-0.97","17124810","3585","4810","3585","4810"
"2025-08-29","1.12","15625615","3620","4352","3620","4352"
"2025-08-28","0.7","15102600","3580","4246","3580","4246"
"2025-08-27","-0.7","12317525","3555","3435","3555","3435"
"2025-08-26","1.56","25800210","3580","7253","3580","7253"
"2025-08-25","1","22157630","3525","6278","3525","6278"
"2025-08-22","-0.14","14486060","3490","4141","3490","4141"
"2025-08-21","0.14","9055740","3495","2591","3495","2591"
"2025-08-20","-0.14","9743450","3490","2791","3490","2791"
"2025-08-19","-0.14","11335490","3495","3256","3495","3256"
"2025-08-18","-2.23","19272350","3500","5451","3500","5451"
"2025-08-14","-1.51","4883665","3580","1351","3580","1351"
"2025-08-13","-0.14","10461070","3635","2884","3635","2884"
"2025-08-12","-0.27","30090490","3640","8497","3640","8497"
"2025-08-11","-0.54","74256795","3650","21231","3650","21231"
"2025-08-08","0.96","35521920","3670","9641","3670","9641"
"2025-08-06","-0.14","29926110","3635","8476","3635","8476"
"2025-08-05","7.37","11892595","3640","3351","3640","3351"
"2025-08-04","0","18062490","3390","5316","3390","5316"
"2025-08-01","0.44","6566365","3390","1935","3390","1935"
"2025-07-31","2.27","29557930","3375","8848","3375","8848"
"2025-07-30","-0.3","8592830","3300","2613","3300","2613"
"2025-07-29","-0.75","16876280","3310","5101","3310","5101"
"2025-07-28","-0.15","24943295","3335","7456","3335","7456"
"2025-07-25","-0.3","21136760","3340","6377","3340","6377"
"2025-07-24","1.52","14870480","3350","4449","3350","4449"
"2025-07-23","-1.05","10431030","3300","3139","3300","3139"
"2025-07-22","0","55725105","3335","16928","3335","16928"
"2025-07-21","-1.91","6805215","3335","2028","3335","2028"
"2025-07-18","-0.58","31379155","3400","9815","3400","9815"
"2025-07-17","0","4891310","3420","1429","3420","1429"
"2025-07-16","-0.87","4767375","3420","1384","3420","1384"
"2025-07-15","0","14723110","3450","4258","3450","4258"
"2025-07-14","-0.29","16974750","3450","4929","3450","4929"
"2025-07-11","-0.29","13473545","3460","3888","3460","3888"
"2025-07-10","0","15959270","3470","4600","3470","4600"
"2025-07-09","4.99","21039295","3470","6109","3470","6109"
"2025-07-08","6.79","25321120","3305","7950","3305","7950"
"2025-07-07","0.81","14895335","3095","4829","3095","4829"
"2025-07-04","0.99","14081455","3070","4614","3070","4614"
"2025-07-03","0","15022795","3040","4935","3040","4935"
"2025-07-02","1.33","14923060","3040","4944","3040","4944"
"2025-07-01","0.33","16213670","3000","5410","3000","5410"
"2025-06-30","6.22","30881425","2990","10665","2990","10665"
"2025-06-27","-2.93","31392830","2815","11006","2815","11006"
"2025-06-26","-3.17","38978700","2900","13174","2900","13174"
"2025-06-25","-0.17","20403130","2995","6830","2995","6830"
"2025-06-24","-1.96","39521935","3000","13055","3000","13055"
"2025-06-23","-0.33","17388945","3060","5712","3060","5712"
"2025-06-20","0","23420865","3070","7612","3070","7612"
"2025-06-19","-0.65","39753475","3070","12939","3070","12939"
"2025-06-18","-0.16","27633100","3090","9032","3090","9032"
"2025-06-17","0.32","44777075","3095","14455","3095","14455"
"2025-06-16","2.83","25945180","3085","8406","3085","8406"
"2025-06-13","-2.12","101302395","3000","33200","3000","33200"
"2025-06-12","-2.08","40923175","3065","13138","3065","13138"
"2025-06-11","-0.63","46120220","3130","14623","3130","14623"
"2025-06-10","5","48003415","3150","15201","3150","15201"
"2025-06-05","7.33","45696000","3000","15232","3000","15232"
"2025-06-04","7.5","52526435","2795","18793","2795","18793"
"2025-06-03","1.96","10735395","2600","4119","2600","4119"
"2025-06-02","-3.23","14523405","2550","5786","2550","5786"
"2025-05-30","-8.98","55675830","2635","20791","2635","20791"
"2025-05-28","-0.17","25480320","2895","8843","2895","8843"
"2025-05-27","3.57","32112405","2900","11263","2900","11263"
"2025-05-26","-0.88","19213125","2800","6880","2800","6880"
"2025-05-23","0","25039760","2825","8907","2825","8907"
"2025-05-22","0.89","17960555","2825","6412","2825","6412"
"2025-05-21","0","19562575","2800","6990","2800","6990"
"2025-05-20","0.72","23592650","2800","8445","2800","8445"
"2025-05-19","0.72","8430560","2780","3049","2780","3049"
"2025-05-16","4.15","34080490","2760","12680","2760","12680"
"2025-05-15","-0.93","4751505","2650","1784","2650","1784"
"2025-05-14","1.9","2771815","2675","1043","2675","1043"
"2025-05-13","1.94","17631215","2625","6778","2625","6778"
"2025-05-12","0.39","2720725","2575","1054","2575","1054"
"2025-05-09","-1.16","2971115","2565","1150","2565","1150"
"2025-05-08","1.76","18721225","2595","7243","2595","7243"
"2025-05-07","-1.92","11873230","2550","4649","2550","4649"
"2025-05-06","0","10603095","2600","4139","2600","4139"
"2025-05-05","0.78","6133020","2600","2376","2600","2376"
"2025-05-02","3.2","2341510","2580","903","2580","903"
"2025-04-30","-6.02","15585745","2500","6077","2500","6077"
"2025-04-29","0.38","4256645","2660","1606","2660","1606"
"2025-04-28","0.19","25215650","2650","9598","2650","9598"
"2025-04-25","-0.56","7406320","2645","2788","2645","2788"
"2025-04-24","0.76","17270770","2660","6538","2660","6538"
"2025-04-23","0","6971095","2640","2662","2640","2662"
"2025-04-22","-1.68","5841455","2640","2216","2640","2216"
"2025-04-18","-2.36","4337415","2685","1609","2685","1609"
"2025-04-17","2.42","17401500","2750","6138","2750","6138"
"2025-04-16","0","9354240","2685","3529","2685","3529"
"2025-04-15","3.27","2899330","2685","1092","2685","1092"
"2025-04-14","0.19","4711055","2600","1811","2600","1811"
"2025-04-11","3.8","50291590","2595","19790","2595","19790"
"2025-04-10","-1.57","6575145","2500","2627","2500","2627"
"2025-04-09","-0.39","12252205","2540","4891","2540","4891"
"2025-04-08","2","17462035","2550","6912","2550","6912"
"2025-04-07","4.17","11019375","2500","4476","2500","4476"
"2025-04-04","0","30222805","2400","12591","2400","12591"
"2025-04-03","0","26365050","2400","10977","2400","10977"
"2025-04-02","2.13","27695940","2400","11549","2400","11549"
"2025-04-01","-2.08","16671205","2350","7165","2350","7165"
"2025-03-28","1.05","8967410","2400","3754","2400","3754"
"2025-03-26","2.37","51647695","2375","22413","2375","22413"
"2025-03-25","-4.13","40749835","2320","17280","2320","17280"
"2025-03-24","0","27131935","2420","11262","2420","11262"
"2025-03-21","7.32","3905320","2420","1616","2420","1616"
"2025-03-20","7.38","24734595","2255","10969","2255","10969"
"2025-03-19","0.48","5265815","2100","2516","2100","2516"
"2025-03-18","-1.88","3146345","2090","1516","2090","1516"
"2025-03-17","0","4995875","2130","2364","2130","2364"
"2025-03-14","0","319490","2130","150","2130","150"
