"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","0","5566470","2545","2214","2545","2214"
"2025-09-17","0.39","12829395","2545","5084","2545","5084"
"2025-09-16","-1.36","20548270","2535","8178","2535","8178"
"2025-09-15","-0.19","5183805","2570","2051","2570","2051"
"2025-09-12","-0.77","7653350","2575","3003","2575","3003"
"2025-09-11","-0.19","9196260","2595","3558","2595","3558"
"2025-09-10","0","12845405","2600","4912","2600","4912"
"2025-09-09","0.19","10030850","2600","3861","2600","3861"
"2025-09-08","0","2364530","2595","915","2595","915"
"2025-09-05","-0.19","6649115","2595","2567","2595","2567"
"2025-09-03","4","13837225","2600","5451","2600","5451"
"2025-09-02","-4.94","16874650","2500","6608","2500","6608"
"2025-09-01","0.19","5730490","2630","2183","2630","2183"
"2025-08-29","1.16","65656970","2625","25296","2625","25296"
"2025-08-28","-0.19","7875970","2595","3043","2595","3043"
"2025-08-27","0","16721475","2600","6486","2600","6486"
"2025-08-26","0.58","14602050","2600","5626","2600","5626"
"2025-08-25","-0.39","14366640","2585","5549","2585","5549"
"2025-08-22","0.19","3347915","2595","1290","2595","1290"
"2025-08-21","0","4641045","2590","1787","2590","1787"
"2025-08-20","-0.19","9725525","2590","3750","2590","3750"
"2025-08-19","0.39","1207560","2595","470","2595","470"
"2025-08-18","-0.58","4006355","2585","1598","2585","1598"
"2025-08-14","0.78","3920525","2600","1532","2600","1532"
"2025-08-13","1.18","4344525","2580","1710","2580","1710"
"2025-08-12","-1.16","2277310","2550","891","2550","891"
"2025-08-11","2.79","12722190","2580","5139","2580","5139"
"2025-08-08","-2.71","6405125","2510","2534","2510","2534"
"2025-08-06","3.2","2902820","2580","1149","2580","1149"
"2025-08-05","-0.4","7286380","2500","2913","2500","2913"
"2025-08-04","2.24","869500","2510","347","2510","347"
"2025-08-01","-2.19","87133810","2455","33282","2455","33282"
"2025-07-31","2.45","62612330","2510","25501","2510","25501"
"2025-07-30","-2","26253040","2450","10937","2450","10937"
"2025-07-29","2.25","7616650","2500","3107","2500","3107"
"2025-07-28","-5.05","14876070","2445","6063","2445","6063"
"2025-07-25","0","51646340","2575","21473","2575","21473"
"2025-07-24","-0.58","6590225","2575","2663","2575","2663"
"2025-07-23","0.58","91090875","2590","34315","2590","34315"
"2025-07-22","5.1","13595975","2575","5539","2575","5539"
"2025-07-21","-3.16","7150995","2450","2897","2450","2897"
"2025-07-18","-0.59","4588765","2530","1833","2530","1833"
"2025-07-17","-0.2","2423995","2545","952","2545","952"
"2025-07-16","0.2","730980","2550","289","2550","289"
"2025-07-15","-1.36","3118455","2545","1237","2545","1237"
"2025-07-14","0","1117040","2580","438","2580","438"
"2025-07-11","-0.19","842250","2580","327","2580","327"
"2025-07-10","3.4","1102335","2585","440","2585","440"
"2025-07-09","0.4","25282905","2500","9825","2500","9825"
"2025-07-08","-1.97","6743390","2490","2679","2490","2679"
"2025-07-07","5.83","18909025","2540","8092","2540","8092"
"2025-07-04","1.05","42676755","2400","17783","2400","17783"
"2025-07-03","-1.25","16187455","2375","6761","2375","6761"
"2025-07-02","-2.04","10410690","2405","4333","2405","4333"
"2025-07-01","-6.65","14916735","2455","5990","2455","5990"
"2025-06-30","-0.75","17846200","2630","7169","2630","7169"
"2025-06-27","6","13295530","2650","5308","2650","5308"
"2025-06-26","-7.24","11557920","2500","4556","2500","4556"
"2025-06-25","-1.82","811315","2695","298","2695","298"
"2025-06-24","2.23","90872655","2745","34278","2745","34278"
"2025-06-23","-0.37","102307410","2685","38031","2685","38031"
"2025-06-20","-0.19","6402980","2695","2368","2695","2368"
"2025-06-19","0","1901525","2700","705","2700","705"
"2025-06-18","0","756160","2700","280","2700","280"
"2025-06-17","-0.37","9576215","2700","3512","2700","3512"
"2025-06-16","0.74","5454440","2710","1939","2710","1939"
"2025-06-13","2.28","5413075","2690","2031","2690","2031"
