"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","-7.46","60473040","9185","6408","9185","6408"
"2025-09-17","0.76","13528020","9925","1372","9925","1372"
"2025-09-16","-0.51","30315690","9850","3056","9850","3056"
"2025-09-15","-1","6062070","9900","616","9900","616"
"2025-09-12","0.05","2029600","10000","203","10000","203"
"2025-09-11","2.57","7432265","9995","757","9995","757"
"2025-09-10","0","1100615","9745","113","9745","113"
"2025-09-09","0.15","25673960","9745","2644","9745","2644"
"2025-09-08","0.26","11147585","9730","1147","9730","1147"
"2025-09-05","0","11277975","9705","1162","9705","1162"
"2025-09-03","0","8715890","9705","897","9705","897"
"2025-09-02","-0.21","2343660","9705","241","9705","241"
"2025-09-01","-0.1","30097490","9725","3117","9725","3117"
"2025-08-29","-0.15","1012850","9735","104","9735","104"
"2025-08-28","0.15","18742155","9750","1933","9750","1933"
"2025-08-27","-0.15","38340855","9735","3933","9735","3933"
"2025-08-26","0.41","17928490","9750","1842","9750","1842"
"2025-08-25","-0.41","1947160","9710","200","9710","200"
"2025-08-22","0","5956700","9750","611","9750","611"
"2025-08-21","-0.41","3603695","9750","369","9750","369"
"2025-08-20","-0.1","2635085","9790","269","9790","269"
"2025-08-19","0.05","9662275","9800","993","9800","993"
"2025-08-18","-0.05","27112220","9795","2769","9795","2769"
"2025-08-14","1.03","24185310","9800","2467","9800","2467"
"2025-08-13","0.1","3704120","9700","382","9700","382"
"2025-08-12","-1.12","4594185","9690","472","9690","472"
"2025-08-11","-1.01","35256665","9800","3596","9800","3596"
"2025-08-08","0.05","49085615","9900","5012","9900","5012"
"2025-08-06","0","375945","9895","38","9895","38"
"2025-08-05","-0.05","652310","9895","66","9895","66"
"2025-08-04","0","10602400","9900","1087","9900","1087"
"2025-08-01","2.06","2894700","9900","292","9900","292"
"2025-07-31","-2.02","5001000","9700","510","9700","510"
"2025-07-30","1.02","2720025","9900","276","9900","276"
"2025-07-29","1.03","24425575","9800","2495","9800","2495"
"2025-07-28","-0.87","6145295","9700","630","9700","630"
"2025-07-25","-0.15","2039395","9785","209","9785","209"
"2025-07-24","0","2329525","9800","238","9800","238"
"2025-07-23","0","1459450","9800","149","9800","149"
"2025-07-22","-0.51","9456410","9800","969","9800","969"
"2025-07-21","0","2309520","9850","234","9850","234"
"2025-07-18","0.46","12044225","9850","1226","9850","1226"
"2025-07-17","0","6453430","9805","658","9805","658"
"2025-07-16","-0.96","4080815","9805","415","9805","415"
"2025-07-15","-1","8396030","9900","849","9900","849"
"2025-07-14","-0.99","1774690","10000","178","10000","178"
"2025-07-11","1","6332220","10100","633","10100","633"
"2025-07-10","1.11","3008360","10000","304","10000","304"
"2025-07-09","-0.1","3900910","9890","396","9890","396"
"2025-07-08","0.46","7720070","9900","779","9900","779"
"2025-07-07","-5.69","2857340","9855","285","9855","285"
"2025-07-04","7.18","25167575","10450","2415","10450","2415"
"2025-07-03","-3.89","11742570","9750","1195","9750","1195"
"2025-07-02","-0.98","5852920","10145","583","10145","583"
"2025-07-01","-0.53","2919505","10245","285","10245","285"
"2025-06-30","-0.19","161960975","10300","15727","10300","15727"
"2025-06-27","-0.05","4118770","10320","399","10320","399"
"2025-06-26","0","794235","10325","77","10325","77"
"2025-06-25","0.34","546150","10325","53","10325","53"
"2025-06-24","-0.53","17249550","10290","1670","10290","1670"
"2025-06-23","0.53","23982880","10345","2321","10345","2321"
"2025-06-20","-1.06","1145225","10290","111","10290","111"
"2025-06-19","0.97","24482660","10400","2372","10400","2372"
"2025-06-18","2.64","22999205","10300","2287","10300","2287"
"2025-06-17","-2.1","5433290","10035","535","10035","535"
"2025-06-16","2.45","1366670","10250","136","10250","136"
"2025-06-13","0.05","15574525","10005","1555","10005","1555"
"2025-06-12","-1.96","9493000","10000","933","10000","933"
"2025-06-11","2","27770620","10200","2670","10200","2670"
"2025-06-10","0","14594335","10000","1444","10000","1444"
"2025-06-05","-4.26","2131760","10000","213","10000","213"
"2025-06-04","-0.48","12157040","10445","1172","10445","1172"
"2025-06-03","3.91","11531825","10495","1139","10495","1139"
"2025-06-02","0","2251700","10100","227","10100","227"
"2025-05-30","1","20192460","10100","2050","10100","2050"
"2025-05-28","-1.82","7258145","10000","734","10000","734"
"2025-05-27","0","2454720","10185","243","10185","243"
"2025-05-26","3.93","3082450","10185","306","10185","306"
"2025-05-23","-5.95","19450575","9800","1921","9800","1921"
"2025-05-22","-0.24","11461235","10420","1144","10420","1144"
"2025-05-21","-0.19","397320","10445","38","10445","38"
"2025-05-20","4.65","40105655","10465","4089","10465","4089"
"2025-05-19","-5.39","1213345","10000","116","10000","116"
"2025-05-16","7.26","10812450","10570","1101","10570","1101"
"2025-05-15","0.56","6045240","9855","614","9855","614"
"2025-05-14","1.03","33136060","9800","3479","9800","3479"
"2025-05-13","1.09","29878310","9700","3126","9700","3126"
"2025-05-12","-2.09","2097235","9595","217","9595","217"
"2025-05-09","0","3025125","9800","312","9800","312"
"2025-05-08","0","2812100","9800","287","9800","287"
"2025-05-07","2.14","4697530","9800","486","9800","486"
"2025-05-06","2.07","8078690","9595","850","9595","850"
"2025-05-05","-3.09","20901200","9400","2228","9400","2228"
"2025-05-02","2.11","16496525","9700","1729","9700","1729"
"2025-04-30","-3.06","2971220","9500","308","9500","308"
"2025-04-29","-0.56","31442825","9800","3371","9800","3371"
"2025-04-28","-7.46","16026285","9855","1620","9855","1620"
"2025-04-25","0","4826845","10650","459","10650","459"
"2025-04-24","1.48","873765","10650","82","10650","82"
"2025-04-23","-0.05","3255695","10495","311","10495","311"
"2025-04-22","0.96","24705350","10500","2356","10500","2356"
"2025-04-18","-0.95","6553200","10400","629","10400","629"
"2025-04-17","0","459750","10500","44","10500","44"
"2025-04-16","1.35","3784420","10500","363","10500","363"
"2025-04-15","-0.38","16648205","10360","1601","10360","1601"
"2025-04-14","0.39","2327690","10400","224","10400","224"
"2025-04-11","-0.38","1589070","10360","153","10360","153"
"2025-04-10","-1.84","8093785","10400","768","10400","768"
"2025-04-09","2.37","52715795","10595","5065","10595","5065"
"2025-04-08","-0.48","7111770","10350","687","10350","687"
"2025-04-07","-0.95","15219300","10400","1450","10400","1450"
"2025-04-04","0","5407500","10500","515","10500","515"
"2025-04-03","-2.78","6535085","10500","621","10500","621"
"2025-04-02","2.86","51838345","10800","5084","10800","5084"
"2025-04-01","-2.33","16067885","10500","1517","10500","1517"
"2025-03-28","0","15122875","10750","1429","10750","1429"
"2025-03-26","-5.62","22464010","10750","2072","10750","2072"
"2025-03-25","-0.78","5730965","11390","509","11390","509"
"2025-03-24","-0.13","10641040","11480","934","11480","934"
"2025-03-21","-0.04","3087780","11495","270","11495","270"
"2025-03-20","0","20664060","11500","1797","11500","1797"
"2025-03-19","0","5623665","11500","500","11500","500"
"2025-03-18","5.94","9113400","11500","812","11500","812"
"2025-03-17","0.51","17162125","10855","1588","10855","1588"
"2025-03-14","2.86","22752375","10800","2154","10800","2154"
"2025-03-13","0.05","8135995","10500","775","10500","775"
"2025-03-12","2.44","21804600","10495","2127","10495","2127"
"2025-03-11","0.94","70922920","10245","6939","10245","6939"
"2025-03-10","0","10871215","10150","1071","10150","1071"
"2025-03-07","-0.98","3695090","10150","361","10150","361"
"2025-03-06","0","2306370","10250","225","10250","225"
"2025-03-05","2.5","3090020","10250","305","10250","305"
"2025-03-04","-2.91","6870220","10000","681","10000","681"
"2025-03-03","3","12471105","10300","1247","10300","1247"
"2025-02-28","0.1","7292915","10000","730","10000","730"
"2025-02-27","-0.1","2619195","9990","262","9990","262"
"2025-02-26","0.4","5751010","10000","576","10000","576"
"2025-02-25","-1.39","3207245","9960","321","9960","321"
"2025-02-24","1.15","8889430","10100","890","10100","890"
"2025-02-21","0.35","5810510","9985","584","9985","584"
"2025-02-20","-0.35","4198880","9950","422","9950","422"
"2025-02-19","0.4","1326495","9985","133","9985","133"
"2025-02-18","0.05","1053715","9945","106","9945","106"
"2025-02-17","-0.05","1361040","9940","137","9940","137"
"2025-02-14","0.45","2991775","9945","303","9945","303"
"2025-02-13","0.51","6788485","9900","687","9900","687"
"2025-02-12","-0.51","5419085","9850","548","9850","548"
"2025-02-11","0","1737100","9900","176","9900","176"
"2025-02-10","0","3186750","9900","322","9900","322"
"2025-02-07","0","1415700","9900","143","9900","143"
"2025-02-06","1.02","5271310","9900","537","9900","537"
"2025-02-05","0","2655150","9800","271","9800","271"
"2025-02-04","0","6729950","9800","687","9800","687"
"2025-02-03","0","2773275","9800","283","9800","283"
"2025-01-31","0","1606545","9800","164","9800","164"
"2025-01-30","0","1713650","9800","175","9800","175"
"2025-01-29","0.05","5088440","9800","533","9800","533"
"2025-01-28","0.15","4715990","9795","494","9795","494"
"2025-01-27","0.05","142731875","9780","15011","9780","15011"
"2025-01-24","0","1094800","9775","112","9775","112"
"2025-01-23","0.77","3186750","9775","334","9775","334"
"2025-01-22","-0.72","193226605","9700","20324","9700","20324"
"2025-01-21","0","3038600","9770","311","9770","311"
"2025-01-20","0","43270790","9770","4553","9770","4553"
"2025-01-17","0.21","1399690","9770","145","9770","145"
"2025-01-16","-0.31","2172890","9750","223","9750","223"
"2025-01-15","-0.2","4054520","9780","414","9780","414"
"2025-01-14","0","1802440","9800","184","9800","184"
"2025-01-13","0.05","2846040","9800","295","9800","295"
"2025-01-10","-0.05","22776135","9795","2394","9795","2394"
"2025-01-09","0","42488165","9800","4470","9800","4470"
"2025-01-08","-0.51","618600","9800","63","9800","63"
"2025-01-07","-0.35","1242605","9850","126","9850","126"
"2025-01-06","-0.1","3922345","9885","406","9885","406"
"2025-01-03","0","237385","9895","24","9895","24"
"2025-01-02","0.1","217490","9895","22","9895","22"
"2024-12-31","0","652410","9885","66","9885","66"
"2024-12-30","0","1620425","9885","165","9885","165"
"2024-12-27","0","392147355","9885","40424","9885","40424"
"2024-12-26","-0.1","487382930","9885","50245","9885","50245"
"2024-12-24","0.1","245369145","9895","25151","9895","25151"
"2024-12-23","-0.15","398959385","9885","41988","9885","41988"
"2024-12-20","1.02","391470110","9900","40243","9900","40243"
"2024-12-19","-1.01","1291650","9800","132","9800","132"
"2024-12-18","1.54","206546390","9900","21730","9900","21730"
"2024-12-17","-2.01","19500","9750","2","9750","2"
"2024-12-16","2.52","13506450","9950","1371","9950","1371"
"2024-12-13","-2.71","7931720","9705","798","9705","798"
"2024-12-12","0.25","2152270","9975","216","9975","216"
"2024-12-11","0","238800","9950","24","9950","24"
"2024-12-10","0","13013565","9950","1359","9950","1359"
"2024-12-09","-0.3","2712945","9950","273","9950","273"
"2024-12-06","0.3","4586210","9980","463","9980","463"
"2024-12-05","-0.35","3541030","9950","356","9950","356"
"2024-12-04","0","7156245","9985","717","9985","717"
"2024-12-03","0","2755040","9985","276","9985","276"
"2024-12-02","-0.05","3405430","9985","342","9985","342"
"2024-11-29","0.35","1247070","9990","125","9990","125"
"2024-11-28","0","428365","9955","43","9955","43"
"2024-11-27","-0.35","2495850","9955","251","9955","251"
