"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","0","987480","940","1059","940","1059"
"2025-09-17","-1.05","754615","940","810","940","810"
"2025-09-16","0.53","5079130","950","5316","950","5316"
"2025-09-15","2.72","2085645","945","2228","945","2228"
"2025-09-12","1.1","1997460","920","2164","920","2164"
"2025-09-11","0","13328285","910","14708","910","14708"
"2025-09-10","0","7920975","910","8740","910","8740"
"2025-09-09","1.11","6112535","910","6744","910","6744"
"2025-09-08","-0.55","13206765","900","14576","900","14576"
"2025-09-05","-6.22","13634085","905","14775","905","14775"
"2025-09-03","6.04","22863280","965","24489","965","24489"
"2025-09-02","7.06","23817560","910","26194","910","26194"
"2025-09-01","6.92","10415860","850","12258","850","12258"
"2025-08-29","7.43","10460950","795","13210","795","13210"
"2025-08-28","7.25","13424860","740","18575","740","18575"
"2025-08-27","2.22","5708405","690","8390","690","8390"
"2025-08-26","2.27","1158570","675","1727","675","1727"
"2025-08-25","0","22702450","660","34277","660","34277"
"2025-08-22","-0.75","8855975","660","13482","660","13482"
"2025-08-21","-2.21","6033250","665","9120","665","9120"
"2025-08-20","0.74","3861910","680","5736","680","5736"
"2025-08-19","0.75","1467835","675","2213","675","2213"
"2025-08-18","-0.74","848545","670","1270","670","1270"
"2025-08-14","2.27","101575","675","152","675","152"
"2025-08-13","1.54","336750","660","517","660","517"
"2025-08-12","2.36","1139395","650","1763","650","1763"
"2025-08-11","-2.31","369240","635","584","635","584"
"2025-08-08","0","213040","650","328","650","328"
"2025-08-06","0","378285","650","590","650","590"
"2025-08-05","0","438750","650","675","650","675"
"2025-08-04","-0.76","1186640","650","1846","650","1846"
"2025-08-01","-0.76","1564180","655","2393","655","2393"
"2025-07-31","-3.65","646905","660","983","660","983"
"2025-07-30","2.24","2209800","685","3216","685","3216"
"2025-07-29","0","3210180","670","4953","670","4953"
"2025-07-28","-0.74","30804780","670","45950","670","45950"
"2025-07-25","0.75","1542725","675","2294","675","2294"
"2025-07-24","0","682625","670","1022","670","1022"
"2025-07-23","-1.47","161620","670","245","670","245"
"2025-07-22","0","1600820","680","2531","680","2531"
"2025-07-21","4.62","270005","680","401","680","401"
"2025-07-18","-2.99","1178835","650","1800","650","1800"
"2025-07-17","-1.47","89525","670","133","670","133"
"2025-07-16","-0.73","637445","680","933","680","933"
"2025-07-15","1.48","425725","685","636","685","636"
"2025-07-14","3.85","953165","675","1403","675","1403"
"2025-07-11","-0.76","3553365","650","5420","650","5420"
"2025-07-10","-1.5","3694130","655","5631","655","5631"
"2025-07-09","2.31","51955","665","77","665","77"
"2025-07-08","-3.7","379370","650","584","650","584"
"2025-07-07","1.5","1590170","675","2497","675","2497"
"2025-07-04","-2.21","840850","665","1236","665","1236"
"2025-07-03","0","4100140","680","6012","680","6012"
"2025-07-02","3.03","5969150","680","9041","680","9041"
"2025-07-01","-2.94","96100","660","142","660","142"
"2025-06-30","0.74","4295620","680","6322","680","6322"
"2025-06-27","2.27","538515","675","800","675","800"
"2025-06-26","0","424695","660","634","660","634"
"2025-06-25","-2.94","321760","660","477","660","477"
"2025-06-24","3.03","685300","680","1013","680","1013"
"2025-06-23","-0.75","6381690","660","9629","660","9629"
"2025-06-20","-2.21","460630","665","699","665","699"
"2025-06-19","4.62","2188050","680","3243","680","3243"
"2025-06-18","-1.52","6343320","650","9663","650","9663"
"2025-06-17","-2.94","1508515","660","2270","660","2270"
"2025-06-16","0","678140","680","1003","680","1003"
"2025-06-13","7.09","3689160","680","5756","680","5756"
"2025-06-12","-3.79","3663780","635","5592","635","5592"
"2025-06-11","-2.22","3337055","660","4993","660","4993"
"2025-06-10","3.85","11862175","675","17733","675","17733"
"2025-06-05","-0.76","1668885","650","2554","650","2554"
"2025-06-04","0","1515125","655","2305","655","2305"
"2025-06-03","0","1453800","655","2228","655","2228"
"2025-06-02","-0.76","685685","655","1072","655","1072"
"2025-05-30","-0.75","486400","660","734","660","734"
"2025-05-28","1.53","644720","665","991","665","991"
"2025-05-27","-3.68","2057745","655","3152","655","3152"
"2025-05-26","-1.45","397330","680","604","680","604"
"2025-05-23","-1.43","623980","690","899","690","899"
"2025-05-22","0","1836490","700","2533","700","2533"
"2025-05-21","1.45","6821865","700","9288","700","9288"
"2025-05-20","6.98","1996170","690","2893","690","2893"
"2025-05-19","7.5","1836960","645","2848","645","2848"
"2025-05-16","-0.83","90005","600","149","600","149"
"2025-05-15","0","122750","605","202","605","202"
"2025-05-14","0","2406945","605","4090","605","4090"
"2025-05-13","0.83","797150","605","1322","605","1322"
"2025-05-12","-0.83","6375260","600","10692","600","10692"
"2025-05-09","0.83","2403040","605","4005","605","4005"
"2025-05-08","0","915300","600","1639","600","1639"
"2025-05-07","6.19","795600","600","1326","600","1326"
"2025-05-06","-5.83","564110","565","983","565","983"
"2025-05-05","0","196500","600","350","600","350"
"2025-05-02","0","4049445","600","7162","600","7162"
"2025-04-30","0","74400","600","124","600","124"
"2025-04-29","0","5901350","600","10420","600","10420"
"2025-04-28","5.26","199580","600","328","600","328"
"2025-04-25","-6.56","212550","570","363","570","363"
"2025-04-24","1.67","601870","610","987","610","987"
"2025-04-23","0","189745","600","316","600","316"
"2025-04-22","-1.64","17600","600","29","600","29"
"2025-04-18","0","3050","610","5","610","5"
"2025-04-17","7.02","98960","610","170","610","170"
"2025-04-16","-6.56","2295250","570","4025","570","4025"
"2025-04-15","0","77470","610","127","610","127"
"2025-04-14","0.83","415215","610","685","610","685"
"2025-04-11","0","5890770","605","10289","605","10289"
"2025-04-10","0.83","1947900","605","3227","605","3227"
"2025-04-09","-0.83","381370","600","637","600","637"
"2025-04-08","-0.82","380275","605","625","605","625"
"2025-04-07","6.09","77180","610","128","610","128"
"2025-04-04","0.88","564850","575","942","575","942"
"2025-04-03","-6.56","228165","570","390","570","390"
"2025-04-02","-0.81","71670","610","117","610","117"
"2025-04-01","0","103935","615","169","615","169"
"2025-03-28","2.5","6310080","615","10375","615","10375"
"2025-03-26","-0.83","145100","600","242","600","242"
"2025-03-25","0","96150","605","159","605","159"
"2025-03-24","6.14","939030","605","1614","605","1614"
"2025-03-21","-6.56","186170","570","310","570","310"
"2025-03-20","0","54290","610","89","610","89"
"2025-03-19","0","912750","610","1555","610","1555"
"2025-03-18","1.67","2404410","610","3969","610","3969"
"2025-03-17","-1.64","312985","600","530","600","530"
"2025-03-14","0","131710","610","216","610","216"
"2025-03-13","0","135965","610","223","610","223"
"2025-03-12","0.83","597765","610","988","610","988"
"2025-03-11","0","38565","605","64","605","64"
"2025-03-10","-0.82","1064180","605","1850","605","1850"
"2025-03-07","0","514950","610","869","610","869"
"2025-03-06","0","344150","610","560","610","560"
"2025-03-05","-0.81","712420","610","1204","610","1204"
"2025-03-04","-0.81","293455","615","476","615","476"
"2025-03-03","-0.8","259455","620","423","620","423"
"2025-02-28","1.63","306455","625","495","625","495"
"2025-02-27","-0.81","455515","615","771","615","771"
"2025-02-26","2.48","499350","620","827","620","827"
"2025-02-25","0","208920","605","348","605","348"
"2025-02-24","0","147025","605","244","605","244"
"2025-02-21","0.83","812965","605","1388","605","1388"
"2025-02-20","3.45","477970","600","802","600","802"
"2025-02-19","0","419215","580","723","580","723"
"2025-02-18","0","543390","580","943","580","943"
"2025-02-17","3.57","370020","580","650","580","650"
"2025-02-14","-3.45","1216760","560","2166","560","2166"
"2025-02-13","-1.69","1094595","580","1881","580","1881"
"2025-02-12","5.36","512415","590","865","590","865"
"2025-02-11","-3.45","749020","560","1321","560","1321"
"2025-02-10","0","421320","580","729","580","729"
"2025-02-07","-1.69","185180","580","317","580","317"
"2025-02-06","7.27","709855","590","1279","590","1279"
"2025-02-05","0","597865","550","1081","550","1081"
"2025-02-04","0","666600","550","1212","550","1212"
"2025-02-03","-3.51","1214225","550","2168","550","2168"
"2025-01-31","0","3009285","570","5456","570","5456"
"2025-01-30","-1.72","205800","570","359","570","359"
"2025-01-29","0","143130","580","247","580","247"
"2025-01-28","0","39440","580","68","580","68"
"2025-01-27","3.57","501120","580","864","580","864"
"2025-01-24","-3.45","178025","560","316","560","316"
"2025-01-23","0","496350","580","864","580","864"
"2025-01-22","-1.69","72730","580","124","580","124"
"2025-01-21","0","434700","590","740","590","740"
"2025-01-20","7.27","347535","590","614","590","614"
"2025-01-17","-1.79","452100","550","822","550","822"
"2025-01-16","-1.75","214400","560","379","560","379"
"2025-01-15","-4.2","273460","570","470","570","470"
"2025-01-14","-0.83","845890","595","1410","595","1410"
"2025-01-13","0","198960","600","343","600","343"
"2025-01-10","-0.83","308850","600","550","600","550"
"2025-01-09","-0.82","490115","605","833","605","833"
"2025-01-08","5.17","71090","610","122","610","122"
"2025-01-07","-5.69","2453870","580","4230","580","4230"
"2025-01-06","-1.6","93840","615","150","615","150"
"2025-01-03","4.17","766120","625","1223","625","1223"
"2025-01-02","0","48600","600","81","600","81"
"2024-12-31","0","228900","600","379","600","379"
"2024-12-30","-0.83","110115","600","183","600","183"
"2024-12-27","0","18710","605","31","605","31"
"2024-12-26","0","921860","605","1557","605","1557"
"2024-12-24","0","97305","605","161","605","161"
"2024-12-23","6.14","110140","605","183","605","183"
"2024-12-20","-5","161700","570","270","570","270"
"2024-12-19","-1.64","1932950","600","3319","600","3319"
"2024-12-18","-1.61","256355","610","414","610","414"
"2024-12-17","0","89540","620","147","620","147"
"2024-12-16","0.81","757085","620","1237","620","1237"
"2024-12-13","0","353625","615","575","615","575"
"2024-12-12","2.5","172305","615","287","615","287"
"2024-12-11","0","297020","600","494","600","494"
"2024-12-10","0","404415","600","668","600","668"
"2024-12-09","-2.44","332745","600","546","600","546"
"2024-12-06","1.65","250920","615","408","615","408"
"2024-12-05","-1.63","1141410","605","1856","605","1856"
"2024-12-04","1.65","267735","615","436","615","436"
"2024-12-03","-2.42","702005","605","1152","605","1152"
"2024-12-02","-2.36","821670","620","1316","620","1316"
"2024-11-29","-2.31","1600185","635","2641","635","2641"
"2024-11-28","3.17","372010","650","586","650","586"
"2024-11-27","0","107250","630","169","630","169"
"2024-11-26","0","112040","630","176","630","176"
"2024-11-25","-1.56","120560","630","190","630","190"
"2024-11-22","-1.54","1204765","640","1921","640","1921"
"2024-11-21","5.69","139355","650","216","650","216"
"2024-11-20","-4.65","242745","615","381","615","381"
"2024-11-19","0","1650000","645","2654","645","2654"
"2024-11-18","-3.73","1080525","645","1689","645","1689"
"2024-11-14","7.2","396295","670","634","670","634"
"2024-11-13","0","1371250","625","2050","625","2050"
"2024-11-12","-6.02","377450","625","580","625","580"
"2024-11-11","2.31","159020","665","248","665","248"
"2024-11-08","0","1545840","650","2464","650","2464"
"2024-11-07","0","6619600","650","10184","650","10184"
"2024-11-06","2.36","16632405","650","28174","650","28174"
"2024-11-05","-1.55","3206075","635","5035","635","5035"
"2024-11-04","-0.77","781310","645","1205","645","1205"
"2024-10-31","0","2974075","650","4676","650","4676"
