"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","2.5","6847315","4305","1605","4305","1605"
"2025-09-17","4.87","15217255","4200","3611","4200","3611"
"2025-09-16","-3.49","32720145","4005","8130","4005","8130"
"2025-09-15","0","1728850","4150","413","4150","413"
"2025-09-12","-2.35","6391850","4150","1520","4150","1520"
"2025-09-11","-0.82","1207060","4250","289","4250","289"
"2025-09-10","-0.35","37544205","4285","9362","4285","9362"
"2025-09-09","-0.46","29217080","4300","7290","4300","7290"
"2025-09-08","0.47","12938105","4320","3128","4320","3128"
"2025-09-05","-0.92","8020580","4300","1880","4300","1880"
"2025-09-03","-1.36","771670","4340","177","4340","177"
"2025-09-02","0","13659175","4400","3223","4400","3223"
"2025-09-01","-0.79","36144940","4400","8487","4400","8487"
"2025-08-29","-0.22","1505905","4435","346","4435","346"
"2025-08-28","-1","523340","4445","121","4445","121"
"2025-08-27","-0.22","1058180","4490","239","4490","239"
"2025-08-26","0","840480","4500","188","4500","188"
"2025-08-25","0.22","6187680","4500","1396","4500","1396"
"2025-08-22","0","303320","4490","68","4490","68"
"2025-08-21","-0.22","743415","4490","168","4490","168"
"2025-08-20","0","13931975","4500","3096","4500","3096"
"2025-08-19","-0.55","5335075","4500","1194","4500","1194"
"2025-08-18","-0.88","572185","4525","128","4525","128"
"2025-08-14","-0.22","4565440","4565","1023","4565","1023"
"2025-08-13","0","1399390","4575","318","4575","318"
"2025-08-12","0.55","5387990","4575","1240","4575","1240"
"2025-08-11","-0.98","351130","4550","77","4550","77"
"2025-08-08","0","10488835","4595","2393","4595","2393"
"2025-08-06","5.88","8526790","4595","1917","4595","1917"
"2025-08-05","-7.46","3334345","4340","761","4340","761"
"2025-08-04","-0.21","1477700","4690","328","4690","328"
"2025-08-01","2.17","9014310","4700","1958","4700","1958"
"2025-07-31","-2.02","10375480","4600","2359","4600","2359"
"2025-07-30","-0.11","2672695","4695","602","4695","602"
"2025-07-29","0.11","6072350","4700","1304","4700","1304"
"2025-07-28","-0.11","1200900","4695","266","4695","266"
"2025-07-25","4.44","22918395","4700","5100","4700","5100"
"2025-07-24","-4.26","395985","4500","85","4500","85"
"2025-07-23","-0.84","1212135","4700","269","4700","269"
"2025-07-22","-0.11","3321440","4740","737","4740","737"
"2025-07-21","0.11","10581280","4745","2221","4745","2221"
"2025-07-18","-0.11","7393565","4740","1641","4740","1641"
"2025-07-17","-0.11","27157050","4745","5932","4745","5932"
"2025-07-16","-0.11","769750","4750","165","4750","165"
"2025-07-15","-0.11","6983235","4755","1549","4755","1549"
"2025-07-14","1.28","2028320","4760","435","4760","435"
"2025-07-11","0","17181150","4700","3725","4700","3725"
"2025-07-10","-1.05","2251350","4700","479","4700","479"
"2025-07-09","-0.63","394850","4750","87","4750","87"
"2025-07-08","0","1033420","4780","225","4780","225"
"2025-07-07","0","2324650","4780","487","4780","487"
"2025-07-04","1.7","3439175","4780","725","4780","725"
"2025-07-03","-0.63","1178450","4700","260","4700","260"
"2025-07-02","-0.42","2263250","4730","486","4730","486"
"2025-07-01","-0.63","483440","4750","103","4750","103"
"2025-06-30","0","1465180","4780","311","4780","311"
"2025-06-27","0.63","16351050","4780","3644","4780","3644"
"2025-06-26","-0.63","242790","4750","51","4750","51"
"2025-06-25","-0.1","54420175","4780","12185","4780","12185"
"2025-06-24","0","58923115","4785","13134","4785","13134"
"2025-06-23","-0.31","421520","4785","88","4785","88"
"2025-06-20","1.05","19703845","4800","4122","4800","4122"
"2025-06-19","-0.21","7868315","4750","1655","4750","1655"
"2025-06-18","0","1735250","4760","370","4760","370"
"2025-06-17","-0.1","6322005","4760","1388","4760","1388"
"2025-06-16","-0.21","1734050","4765","374","4765","374"
"2025-06-13","-0.52","7581270","4775","1588","4775","1588"
"2025-06-12","0.1","13691615","4800","3001","4800","3001"
"2025-06-11","-0.1","24109280","4795","5357","4795","5357"
"2025-06-10","0","35075000","4800","7619","4800","7619"
"2025-06-05","0.21","27046195","4800","5676","4800","5676"
"2025-06-04","0","3594685","4790","785","4790","785"
"2025-06-03","-0.21","19835310","4790","4344","4790","4344"
"2025-06-02","0","17316775","4800","3644","4800","3644"
"2025-05-30","2.24","24364360","4800","5078","4800","5078"
"2025-05-28","-0.11","1496955","4695","327","4695","327"
"2025-05-27","0","4120735","4700","891","4700","891"
"2025-05-26","-0.84","3292100","4700","702","4700","702"
"2025-05-23","0","984095","4740","208","4740","208"
"2025-05-22","-1.04","955130","4740","201","4740","201"
"2025-05-21","0","5143560","4790","1076","4790","1076"
"2025-05-20","-0.21","1676500","4790","350","4790","350"
"2025-05-19","0","3974500","4800","830","4800","830"
"2025-05-16","0","218950","4800","46","4800","46"
"2025-05-15","0","670600","4800","140","4800","140"
"2025-05-14","0.21","846530","4800","178","4800","178"
"2025-05-13","-0.21","572950","4790","120","4790","120"
"2025-05-12","0","17803660","4800","3719","4800","3719"
"2025-05-09","0.21","2514830","4800","525","4800","525"
"2025-05-08","0","1443390","4790","307","4790","307"
"2025-05-07","-0.21","929260","4790","194","4790","194"
"2025-05-06","0","1022280","4800","214","4800","214"
"2025-05-05","0","1852650","4800","387","4800","387"
"2025-05-02","0","1530200","4800","320","4800","320"
"2025-04-30","-0.21","480000","4800","100","4800","100"
"2025-04-29","-0.21","945150","4810","197","4810","197"
"2025-04-28","0.42","24829170","4820","5080","4820","5080"
"2025-04-25","0","68638800","4800","14306","4800","14306"
"2025-04-24","0","954830","4800","199","4800","199"
"2025-04-23","0","482400","4800","102","4800","102"
"2025-04-22","2.13","814410","4800","171","4800","171"
"2025-04-18","-2.08","727600","4700","152","4700","152"
"2025-04-17","0","220800","4800","46","4800","46"
"2025-04-16","-1.03","133800000","4800","27875","4800","27875"
"2025-04-15","0.94","452200","4850","94","4850","94"
"2025-04-14","0","12682375","4805","2639","4805","2639"
"2025-04-11","0.1","23583810","4805","4916","4805","4916"
"2025-04-10","1.05","40315400","4800","8436","4800","8436"
"2025-04-09","-1.96","749400","4750","157","4750","157"
"2025-04-08","0.94","40216785","4845","8053","4845","8053"
"2025-04-07","0","494420","4800","103","4800","103"
"2025-04-04","0","27578100","4800","5747","4800","5747"
"2025-04-03","0.21","10452405","4800","2182","4800","2182"
"2025-04-02","-0.62","2811155","4790","597","4790","597"
"2025-04-01","-2.63","547910","4820","112","4820","112"
"2025-03-28","2.17","50944195","4950","10504","4950","10504"
"2025-03-26","2.43","25370935","4845","5260","4845","5260"
