"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","2.76","33101965","14900","2259","14900","2259"
"2025-09-17","0","45967805","14500","3178","14500","3178"
"2025-09-16","0.69","9986685","14500","694","14500","694"
"2025-09-15","0","18633300","14400","1305","14400","1305"
"2025-09-12","1.37","11201420","14400","785","14400","785"
"2025-09-11","0.04","17502505","14205","1236","14205","1236"
"2025-09-10","-2.74","20915415","14200","1465","14200","1465"
"2025-09-09","0","7016990","14600","487","14600","487"
"2025-09-08","0","57039540","14600","4046","14600","4046"
"2025-09-05","-2.01","7022125","14600","474","14600","474"
"2025-09-03","0","19210415","14900","1293","14900","1293"
"2025-09-02","0","2175395","14900","146","14900","146"
"2025-09-01","-0.67","20634900","14900","1389","14900","1389"
"2025-08-29","0.67","143659560","15000","9584","15000","9584"
"2025-08-28","1.36","8941100","14900","607","14900","607"
"2025-08-27","-2","15445445","14700","1045","14700","1045"
"2025-08-26","2.74","15376455","15000","1046","15000","1046"
"2025-08-25","-1.38","7140255","14600","481","14600","481"
"2025-08-22","0.03","21186650","14805","1453","14805","1453"
"2025-08-21","2.42","27512500","14800","1851","14800","1851"
"2025-08-20","-1.7","82826075","14450","5720","14450","5720"
"2025-08-19","0.89","22340050","14700","1535","14700","1535"
"2025-08-18","-0.07","11115800","14570","771","14570","771"
"2025-08-14","2.93","7404295","14580","522","14580","522"
"2025-08-13","0.11","8701215","14165","618","14165","618"
"2025-08-12","0","21622660","14150","1533","14150","1533"
"2025-08-11","0.35","125660995","14150","8971","14150","8971"
"2025-08-08","0.71","168055500","14100","12002","14100","12002"
"2025-08-06","-1.06","4401320","14000","314","14000","314"
"2025-08-05","-0.35","151957725","14150","10867","14150","10867"
"2025-08-04","-0.35","7064400","14200","497","14200","497"
"2025-08-01","1.42","59517165","14250","4248","14250","4248"
"2025-07-31","-0.35","6864100","14050","487","14050","487"
"2025-07-30","0.71","18999020","14100","1354","14100","1354"
"2025-07-29","-0.71","24308120","14000","1731","14000","1731"
"2025-07-28","0.71","37072460","14100","2647","14100","2647"
"2025-07-25","-1.75","24033725","14000","1700","14000","1700"
"2025-07-24","-0.35","29682580","14250","2112","14250","2112"
"2025-07-23","-2.02","55993955","14300","3908","14300","3908"
"2025-07-22","2.78","14050925","14595","971","14595","971"
"2025-07-21","-2.07","12733750","14200","887","14200","887"
"2025-07-18","0","7660940","14500","527","14500","527"
"2025-07-17","-3.33","34584230","14500","2372","14500","2372"
"2025-07-16","3.45","77409610","15000","5321","15000","5321"
"2025-07-15","3.57","96639590","14500","6649","14500","6649"
"2025-07-14","-0.71","60423010","14000","4296","14000","4296"
"2025-07-11","0.71","11926115","14100","841","14100","841"
"2025-07-10","-3.38","115195065","14000","8108","14000","8108"
"2025-07-09","0","29879650","14490","2084","14490","2084"
"2025-07-08","-0.07","10254050","14490","710","14490","710"
"2025-07-07","0.66","80362175","14500","5578","14500","5578"
"2025-07-04","-0.66","14893950","14405","1030","14405","1030"
"2025-07-03","0","26466250","14500","1841","14500","1841"
"2025-07-02","-3.33","27273285","14500","1872","14500","1872"
"2025-07-01","-2.28","21290600","15000","1454","15000","1454"
"2025-06-30","-0.26","12317950","15350","809","15350","809"
"2025-06-27","0","7825980","15390","509","15390","509"
"2025-06-26","2.6","56684280","15390","3779","15390","3779"
"2025-06-25","-3.16","42057530","15000","2802","15000","2802"
"2025-06-24","-0.06","34147485","15490","2273","15490","2273"
"2025-06-23","0","176685350","15500","11706","15500","11706"
"2025-06-20","0.65","49029335","15500","3207","15500","3207"
"2025-06-19","0","23395575","15400","1558","15400","1558"
"2025-06-18","-0.96","14157920","15400","923","15400","923"
"2025-06-17","0.32","58989120","15550","3811","15550","3811"
"2025-06-16","-0.64","27678670","15500","1779","15500","1779"
"2025-06-13","-1.98","126294050","15600","8087","15600","8087"
"2025-06-12","1.05","115534075","15915","7335","15915","7335"
"2025-06-11","0","8853675","15750","561","15750","561"
"2025-06-10","1.29","14983580","15750","958","15750","958"
"2025-06-05","-0.03","15813380","15550","1018","15550","1018"
"2025-06-04","-1.39","8939960","15555","575","15555","575"
"2025-06-03","-0.06","16284905","15775","1068","15775","1068"
"2025-06-02","-0.03","12173300","15785","807","15785","807"
"2025-05-30","0","8531805","15790","541","15790","541"
"2025-05-28","-0.03","52082785","15790","3302","15790","3302"
"2025-05-27","-0.66","21151745","15795","1344","15795","1344"
"2025-05-26","0.63","7842105","15900","495","15900","495"
"2025-05-23","0.22","14782180","15800","937","15800","937"
"2025-05-22","-0.54","6574090","15765","417","15765","417"
"2025-05-21","2.92","26500615","15850","1718","15850","1718"
"2025-05-20","-0.61","16493195","15400","1086","15400","1086"
"2025-05-19","0","3836795","15495","249","15495","249"
"2025-05-16","-0.03","14971170","15495","980","15495","980"
"2025-05-15","0","3988590","15500","258","15500","258"
"2025-05-14","0","39893990","15500","2646","15500","2646"
"2025-05-13","0","36747210","15500","2349","15500","2349"
"2025-05-12","0","8215700","15500","548","15500","548"
"2025-05-09","1.31","3096190","15500","204","15500","204"
"2025-05-08","2","15610140","15300","1044","15300","1044"
"2025-05-07","0.4","21130045","15000","1419","15000","1419"
"2025-05-06","1.63","9607690","14940","648","14940","648"
"2025-05-05","-0.68","12064540","14700","820","14700","820"
"2025-05-02","0.71","6056850","14800","411","14800","411"
"2025-04-30","-0.03","2131295","14695","145","14695","145"
"2025-04-29","3.52","20756545","14700","1443","14700","1443"
"2025-04-28","-2.07","14339300","14200","993","14200","993"
"2025-04-25","-2.36","11036600","14500","765","14500","765"
"2025-04-24","3.85","36108445","14850","2500","14850","2500"
"2025-04-23","-4.03","33669810","14300","2332","14300","2332"
"2025-04-22","6.01","7038780","14900","477","14900","477"
"2025-04-18","-6.27","49202390","14055","3490","14055","3490"
"2025-04-17","3.41","17215940","14995","1204","14995","1204"
"2025-04-16","0","110696925","14500","7872","14500","7872"
"2025-04-15","-0.72","23204985","14500","1602","14500","1602"
"2025-04-14","-7.24","27728620","14605","1861","14605","1861"
"2025-04-11","3.59","9018540","15745","587","15745","587"
"2025-04-10","4.79","92281630","15200","6493","15200","6493"
"2025-04-09","-3.2","69492540","14505","4780","14505","4780"
"2025-04-08","-1.09","68814625","14985","4714","14985","4714"
"2025-04-07","0","14887505","15150","980","15150","980"
"2025-04-04","1.68","88197425","15150","6010","15150","6010"
"2025-04-03","0.68","22709315","14900","1529","14900","1529"
