"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","5.22","7758580","1310","5907","1310","5907"
"2025-09-17","7.33","12873770","1245","10924","1245","10924"
"2025-09-16","-2.11","7121990","1160","6079","1160","6079"
"2025-09-15","0.85","1455090","1185","1234","1185","1234"
"2025-09-12","1.73","1846740","1175","1590","1175","1590"
"2025-09-11","-2.12","7816470","1155","6742","1155","6742"
"2025-09-10","2.61","2509860","1180","2181","1180","2181"
"2025-09-09","-4.17","5204000","1150","4419","1150","4419"
"2025-09-08","-3.23","9504265","1200","7791","1200","7791"
"2025-09-05","-1.59","4623590","1240","3736","1240","3736"
"2025-09-03","-1.95","4151380","1260","3250","1260","3250"
"2025-09-02","-1.15","6887710","1285","5379","1285","5379"
"2025-09-01","0","3850680","1300","2976","1300","2976"
"2025-08-29","0","8542965","1300","6569","1300","6569"
"2025-08-28","-1.14","5682535","1300","4368","1300","4368"
"2025-08-27","1.15","8359680","1315","6416","1315","6416"
"2025-08-26","1.56","12776650","1300","9879","1300","9879"
"2025-08-25","1.19","14882360","1280","11888","1280","11888"
"2025-08-22","3.27","33060035","1265","26691","1265","26691"
"2025-08-21","7.46","12349125","1225","10096","1225","10096"
"2025-08-20","7.04","6771600","1140","5940","1140","5940"
"2025-08-19","7.04","30785920","1065","32333","1065","32333"
"2025-08-18","-7.44","12949355","995","13003","995","13003"
"2025-08-14","-7.33","15997480","1075","14879","1075","14879"
"2025-08-13","-7.2","20018515","1160","16803","1160","16803"
"2025-08-12","3.31","33729380","1250","26499","1250","26499"
"2025-08-11","7.08","28889205","1210","23883","1210","23883"
"2025-08-08","7.11","26082660","1130","23082","1130","23082"
"2025-08-06","7.11","9130660","1055","8712","1055","8712"
"2025-08-05","7.07","8940550","985","9080","985","9080"
"2025-08-04","6.98","36607345","920","39961","920","39961"
"2025-08-01","7.5","13489100","860","15685","860","15685"
"2025-07-31","7.38","4422450","800","5529","800","5529"
"2025-07-30","7.19","1754475","745","2355","745","2355"
"2025-07-29","0","593765","695","859","695","859"
"2025-07-28","0","4803105","695","6919","695","6919"
"2025-07-25","0.72","743840","695","1079","695","1079"
"2025-07-24","2.99","3719205","690","5466","690","5466"
"2025-07-23","-0.74","1401515","670","2094","670","2094"
"2025-07-22","-0.74","2185265","675","3234","675","3234"
"2025-07-21","0","8577690","680","13072","680","13072"
"2025-07-18","-1.45","3919455","680","5793","680","5793"
"2025-07-17","0.73","3800505","690","5528","690","5528"
"2025-07-16","-1.44","3022585","685","4388","685","4388"
"2025-07-15","0","9967070","695","14278","695","14278"
"2025-07-14","6.92","47766295","695","70647","695","70647"
"2025-07-11","-6.47","6461670","650","9867","650","9867"
"2025-07-10","3.73","5004695","695","7535","695","7535"
"2025-07-09","0.75","7983540","670","12182","670","12182"
"2025-07-08","-0.75","23977405","665","35288","665","35288"
"2025-07-07","0","11950280","670","18211","670","18211"
"2025-07-04","3.08","4714745","670","7116","670","7116"
"2025-07-03","0","6928945","650","10546","650","10546"
"2025-07-02","-5.8","1406405","650","2153","650","2153"
"2025-07-01","1.47","1937765","690","2811","690","2811"
"2025-06-30","-2.16","372275","680","536","680","536"
"2025-06-27","0.72","110040","695","158","695","158"
"2025-06-26","-0.72","1994810","690","2876","690","2876"
"2025-06-25","1.46","1548840","695","2241","695","2241"
"2025-06-24","-0.72","310665","685","451","685","451"
"2025-06-23","4.55","789170","690","1150","690","1150"
"2025-06-20","-4.35","105015","660","154","660","154"
"2025-06-19","0","353940","690","513","690","513"
"2025-06-18","0","60710","690","88","690","88"
"2025-06-17","0.73","5336700","690","8175","690","8175"
"2025-06-16","-0.72","722660","685","1055","685","1055"
"2025-06-13","2.99","56320","690","84","690","84"
"2025-06-12","-2.19","463375","670","690","670","690"
"2025-06-11","0","1805455","685","2747","685","2747"
"2025-06-10","-0.72","216735","685","316","685","316"
"2025-06-05","0","129920","690","187","690","187"
"2025-06-04","0","366750","690","532","690","532"
"2025-06-03","0","568560","690","824","690","824"
"2025-06-02","-0.72","628640","690","906","690","906"
"2025-05-30","-0.71","139990","695","200","695","200"
"2025-05-28","-5.41","1702370","700","2420","700","2420"
"2025-05-27","0","957160","740","1311","740","1311"
"2025-05-26","6.47","3336520","740","4747","740","4747"
"2025-05-23","-7.33","566415","695","804","695","804"
"2025-05-22","0","1704320","750","2433","750","2433"
"2025-05-21","0","1826720","750","2490","750","2490"
"2025-05-20","4.17","1671180","750","2208","750","2208"
"2025-05-19","2.86","1721575","720","2470","720","2470"
"2025-05-16","0","3187025","700","4554","700","4554"
"2025-05-15","3.7","15520270","700","23308","700","23308"
"2025-05-14","6.3","1031555","675","1566","675","1566"
"2025-05-13","0","487680","635","768","635","768"
"2025-05-12","0.79","580905","635","912","635","912"
"2025-05-09","-1.56","124090","630","196","630","196"
"2025-05-08","0.79","592640","640","926","640","926"
"2025-05-07","0","2109115","635","3552","635","3552"
"2025-05-06","-6.62","35420","635","55","635","55"
"2025-05-05","-2.86","109480","680","161","680","161"
"2025-05-02","6.06","57600","700","83","700","83"
"2025-04-30","0.76","102460","660","156","660","156"
"2025-04-29","0.77","847310","655","1294","655","1294"
"2025-04-28","0","226200","650","348","650","348"
"2025-04-25","0","1300","650","2","650","2"
"2025-04-24","0","100750","650","155","650","155"
"2025-04-23","-7.14","846950","650","1303","650","1303"
"2025-04-22","0","14000","700","20","700","20"
"2025-04-17","0","82660","700","121","700","121"
"2025-04-16","0","23800","700","34","700","34"
"2025-04-15","0","6870","700","10","700","10"
"2025-04-14","2.94","102805","700","150","700","150"
"2025-04-11","-6.85","447600","680","651","680","651"
"2025-04-09","0","124110","730","172","730","172"
"2025-04-08","0","156270","730","214","730","214"
"2025-04-07","-7.01","10765","730","14","730","14"
"2025-04-04","-0.63","785","785","1","785","1"
"2025-04-02","-1.25","21340","790","27","790","27"
"2025-04-01","1.27","284020","800","357","800","357"
"2025-03-28","5.33","3745645","790","5365","790","5365"
"2025-03-26","0.67","37500","750","50","750","50"
"2025-03-24","0.68","213245","745","286","745","286"
"2025-03-21","-7.5","524660","740","709","740","709"
"2025-03-20","0","2400","800","3","800","3"
"2025-03-19","0","23940","800","30","800","30"
"2025-03-18","0","37800","800","51","800","51"
"2025-03-17","0","97280","800","131","800","131"
"2025-03-14","0","80800","800","101","800","101"
"2025-03-13","0","169600","800","212","800","212"
"2025-03-12","0.63","137510","800","184","800","184"
"2025-03-11","7.43","372305","795","497","795","497"
"2025-03-10","-7.5","218630","740","295","740","295"
"2025-03-06","0","213250","800","266","800","266"
"2025-03-05","0.63","71400","800","90","800","90"
"2025-03-03","0","1590","795","2","795","2"
"2025-02-27","1.92","471180","795","596","795","596"
"2025-02-26","-3.7","54575","780","70","780","70"
"2025-02-25","1.25","32200","810","40","810","40"
"2025-02-24","-3.03","30500","800","37","800","37"
"2025-02-20","0","171565","825","209","825","209"
"2025-02-19","1.23","18150","825","22","825","22"
"2025-02-18","6.54","61085","815","79","815","79"
"2025-02-17","-7.27","22080","765","28","765","28"
"2025-02-14","0","4125","825","5","825","5"
