"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","0","32760","3640","9","3640","9"
"2025-09-17","0","36400","3640","10","3640","10"
"2025-09-16","-7.14","76270","3640","21","3640","21"
"2025-09-15","-0.13","98000","3920","25","3920","25"
"2025-09-12","-0.25","3925","3925","1","3925","1"
"2025-09-11","-0.25","43070","3935","11","3935","11"
"2025-09-10","7.2","23675","3945","6","3945","6"
"2025-09-09","-7.42","163395","3680","44","3680","44"
"2025-09-08","7.43","549945","3975","145","3975","145"
"2025-09-05","0","643800","3700","174","3700","174"
"2025-09-03","-7.38","259870","3700","70","3700","70"
"2025-09-02","-0.13","1063965","3995","266","3995","266"
"2025-09-01","0","122050","4000","31","4000","31"
"2025-08-29","1.65","216490","4000","55","4000","55"
"2025-08-28","0","554325","3935","141","3935","141"
"2025-08-27","7.07","1665070","3935","426","3935","426"
"2025-08-26","7.3","33075","3675","9","3675","9"
"2025-08-25","3.79","34230","3425","10","3425","10"
"2025-08-22","0","15830100","3300","4797","3300","4797"
"2025-08-21","0","82500","3300","25","3300","25"
"2025-08-20","0","158160","3300","48","3300","48"
"2025-08-19","0","112200","3300","34","3300","34"
"2025-08-18","0.61","59380","3300","18","3300","18"
"2025-08-14","0","32800","3280","10","3280","10"
"2025-08-13","0","45920","3280","14","3280","14"
"2025-08-12","0","32800","3280","10","3280","10"
"2025-08-11","0","49200","3280","15","3280","15"
"2025-08-06","0","19680","3280","6","3280","6"
"2025-08-05","-0.61","221000","3280","67","3280","67"
"2025-08-04","2.8","171600","3300","52","3300","52"
"2025-08-01","0","32100","3210","10","3210","10"
"2025-07-31","0","64200","3210","20","3210","20"
"2025-07-30","0","138210","3210","43","3210","43"
"2025-07-29","-2.73","54450","3210","17","3210","17"
"2025-07-28","0","66000","3300","20","3300","20"
"2025-07-25","3.13","28900","3300","9","3300","9"
"2025-07-22","-3.03","301185","3200","97","3200","97"
"2025-07-21","0","6600","3300","2","3300","2"
"2025-07-18","0","9900","3300","3","3300","3"
"2025-07-17","0","13200","3300","4","3300","4"
"2025-07-16","0","1368315","3300","416","3300","416"
"2025-07-15","0","656750","3300","199","3300","199"
"2025-07-14","-5.71","16900","3300","5","3300","5"
"2025-07-11","0","7000","3500","2","3500","2"
"2025-07-09","0","7000","3500","2","3500","2"
"2025-07-08","-0.99","172200","3500","48","3500","48"
"2025-07-07","0","81305","3535","23","3535","23"
"2025-07-03","-0.28","332290","3535","94","3535","94"
"2025-07-02","7.1","540280","3545","152","3545","152"
"2025-07-01","-0.3","6620","3310","2","3310","2"
