"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2025-09-18","-2.65","728700","920","788","920","788"
"2025-09-17","1.61","2649900","945","2823","945","2823"
"2025-09-16","6.29","5591445","930","5999","930","5999"
"2025-09-15","7.36","3447920","875","3962","875","3962"
"2025-09-12","1.88","614610","815","724","815","724"
"2025-09-11","5.26","3044700","800","3764","800","3764"
"2025-09-10","7.04","808550","760","1067","760","1067"
"2025-09-09","0","46860","710","66","710","66"
"2025-09-08","1.43","113605","710","161","710","161"
"2025-09-05","0.72","816600","700","1174","700","1174"
"2025-09-03","-2.11","885385","695","1253","695","1253"
"2025-09-02","-2.74","1847945","710","2569","710","2569"
"2025-09-01","7.35","1753580","730","2530","730","2530"
"2025-08-29","0","948070","680","1395","680","1395"
"2025-08-28","0","1204520","680","1768","680","1768"
"2025-08-27","-1.45","806770","680","1172","680","1172"
"2025-08-26","6.98","689145","690","1009","690","1009"
"2025-08-25","4.03","1607065","645","2478","645","2478"
"2025-08-22","5.08","2556205","620","4250","620","4250"
"2025-08-21","-0.84","2254680","590","3809","590","3809"
"2025-08-20","0","131345","595","221","595","221"
"2025-08-19","0","73020","595","122","595","122"
"2025-08-18","6.25","551995","595","934","595","934"
"2025-08-14","-3.45","40000","560","69","560","69"
"2025-08-13","7.41","5980","580","11","580","11"
"2025-08-12","0.93","72045","540","133","540","133"
"2025-08-11","-2.73","33215","535","57","535","57"
"2025-08-08","-1.79","2559570","550","4605","550","4605"
"2025-08-06","-3.45","367030","560","647","560","647"
"2025-08-05","-0.85","551765","580","947","580","947"
"2025-08-04","-1.68","343295","585","583","585","583"
"2025-08-01","3.48","461330","595","782","595","782"
"2025-07-31","-1.71","297345","575","516","575","516"
"2025-07-30","1.74","64510","585","111","585","111"
"2025-07-29","0","21275","575","37","575","37"
"2025-07-28","-1.71","93500","575","160","575","160"
"2025-07-25","0","240950","585","412","585","412"
"2025-07-24","-0.85","12285","585","21","585","21"
"2025-07-23","0","105645","590","185","590","185"
"2025-07-22","3.51","1119250","590","2017","590","2017"
"2025-07-21","-4.2","390420","570","666","570","666"
"2025-07-18","0","88060","595","148","595","148"
"2025-07-17","0.85","298450","595","505","595","505"
