"Date","Variation","Volume Devise Total","Cours Ajuste","Volume Ajuste Total","Cours Normal","Volume Normal Total"
"2019-05-10","0","2395","2395","1","2395","1"
"2019-04-15","0","23950","2395","10","2395","10"
"2019-03-28","-0.21","23950","2395","10","2395","10"
"2019-03-25","0","2400","2400","1","2400","1"
"2019-03-21","0","12000","2400","5","2400","5"
"2019-03-11","-2.04","4800","2400","2","2400","2"
"2019-02-07","0","2450","2450","1","2450","1"
"2019-01-29","-1.8","2450","2450","1","2450","1"
"2019-01-02","-0.2","79840","2495","32","2495","32"
"2018-12-13","0","7495","2500","3","2500","3"
"2018-11-23","0","237500","2500","95","2500","95"
"2018-11-22","-1.19","12500","2500","5","2500","5"
"2018-11-08","-0.78","10120","2530","4","2530","4"
"2018-10-29","-1.54","127500","2550","50","2550","50"
"2018-10-22","-0.19","2590","2590","1","2590","1"
"2018-10-10","0","5190","2595","2","2595","2"
"2018-10-04","0","64705","2595","25","2595","25"
"2018-10-02","0","12975","2595","5","2595","5"
"2018-09-28","0","2595","2595","1","2595","1"
"2018-09-27","-2.08","51900","2595","20","2595","20"
"2018-09-05","-1.67","132500","2650","50","2650","50"
"2018-08-16","-5.11","8085","2695","3","2695","3"
"2018-08-01","-2.07","142000","2840","50","2840","50"
"2018-07-26","0","290000","2900","100","2900","100"
"2018-07-13","0","353800","2900","122","2900","122"
"2018-07-12","0","34800","2900","12","2900","12"
"2018-07-09","0","14500","2900","5","2900","5"
"2018-07-04","0","29000","2900","10","2900","10"
"2018-07-02","0","29000","2900","10","2900","10"
"2018-06-13","0","101500","2900","35","2900","35"
"2018-06-12","0","133400","2900","46","2900","46"
"2018-06-07","-2.68","55100","2900","19","2900","19"
"2018-05-17","-3.4","5960","2980","2","2980","2"
"2018-05-11","-7.36","308500","3085","100","3085","100"
"2018-04-26","0","36630","3330","11","3330","11"
"2018-04-24","7.42","65330","3330","21","3330","21"
"2018-04-20","2.99","114685","3100","37","3100","37"
"2018-04-19","7.5","3010","3010","1","3010","1"
"2018-04-17","0","280000","2800","100","2800","100"
"2018-04-16","-6.67","36900","2800","13","2800","13"
"2018-04-13","7.14","31000","3000","11","3000","11"
"2018-04-12","-6.67","98600","2800","35","2800","35"
"2018-03-28","0","30000","3000","10","3000","10"
"2018-03-27","-7.26","15000","3000","5","3000","5"
"2018-03-20","7.48","3235","3235","1","3235","1"
"2018-03-19","7.5","3010","3010","1","3010","1"
"2018-03-16","0","30800","2800","11","2800","11"
"2018-03-14","0.9","14000","2800","5","2800","5"
"2018-03-13","-4.31","43275","2775","15","2775","15"
"2018-03-12","-3.33","23200","2900","8","2900","8"
"2018-03-01","0","3000","3000","1","3000","1"
"2018-02-28","0","75000","3000","25","3000","25"
"2018-02-27","-3.23","90000","3000","30","3000","30"
"2018-02-26","-1.59","15500","3100","5","3100","5"
"2018-02-06","5","403200","3150","128","3150","128"
"2018-02-05","-4.76","15000","3000","5","3000","5"
"2018-01-04","-1.72","307120","3150","96","3150","96"
"2018-01-03","0","32050","3205","10","3205","10"
"2017-12-28","0","16025","3205","5","3205","5"
"2017-12-15","-7.37","3205","3205","1","3205","1"
"2017-12-04","0","3460","3460","1","3460","1"
