Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
ABJC M,2025-09,2.86,13117805,1800,7460,1800,7460
ABJC M,2025-08,4.17,51896990,1750,29631,1750,29631
ABJC M,2025-07,-2.33,85891650,1680,51850,1680,51850
ABJC M,2025-06,7.5,146240120,1720,83287,1720,83287
ABJC M,2025-05,-8.57,73618950,1600,46074,1600,46074
ABJC M,2025-04,-2.51,38431455,1750,21824,1750,21824
ABJC M,2025-03,-4.52,72537355,1795,40264,1795,40264
ABJC M,2025-02,2.45,53221100,1880,29630,1880,29630
ABJC M,2025-01,-3.42,26347360,1835,14463,1835,14463
ABJC M,2024-12,-4.52,47658955,1900,25529,1900,25529
ABJC M,2024-11,-9.55,45767930,1990,23364,1990,23364
ABJC M,2024-10,-4.35,67194545,2200,31933,2200,31933
ABJC M,2024-09,-17.71,58830080,2300,23927,2300,23927
ABJC M,2024-08,24.22,115621650,2795,50341,2795,50341
ABJC M,2024-07,12.5,102065015,2250,46175,2250,46175
ABJC M,2024-06,8.99,91025420,2000,45919,2000,45919
ABJC M,2024-05,14.69,174734695,1835,100305,1835,100305
ABJC M,2024-04,25.0,16884555,1600,12320,1600,12320
ABJC M,2024-03,-1.54,10061215,1280,7913,1280,7913
ABJC M,2024-02,-6.47,12419465,1300,9617,1300,9617
ABJC M,2024-01,4.51,21132025,1390,15422,1390,15422
ABJC M,2023-12,8.13,15862535,1330,12342,1330,12342
ABJC M,2023-11,9.82,15225250,1230,13421,1230,13421
ABJC M,2023-10,-10.4,15914920,1120,13116,1120,13116
ABJC M,2023-09,-5.3,19769685,1250,15746,1250,15746
ABJC M,2023-08,-2.22,22363030,1320,16441,1320,16441
ABJC M,2023-07,-7.85,17558945,1350,12860,1350,12860
ABJC M,2023-06,27.95,22685690,1465,18254,1465,18254
ABJC M,2023-05,0.44,8735160,1145,7349,1145,7349
ABJC M,2023-04,-10.94,12072535,1140,9768,1140,9768
ABJC M,2023-03,10.82,42886680,1280,33404,1280,33404
ABJC M,2023-02,-11.83,25081895,1155,20340,1155,20340
ABJC M,2023-01,1.16,20000850,1310,15272,1310,15272
ABJC M,2022-12,-12.2,5774440,1295,4340,1295,4340
ABJC M,2022-11,-7.81,15000750,1475,10014,1475,10014
ABJC M,2022-10,0.0,8341985,1600,5261,1600,5261
ABJC M,2022-09,6.67,10227265,1600,6571,1600,6571
ABJC M,2022-08,-9.09,14424150,1500,9052,1500,9052
ABJC M,2022-07,3.77,17863175,1650,10734,1650,10734
ABJC M,2022-06,0.0,22766845,1590,14741,1590,14741
ABJC M,2022-05,-14.05,14797955,1590,8844,1590,8844
ABJC M,2022-04,2.21,17512260,1850,9604,1850,9604
ABJC M,2022-03,12.07,57103185,1810,33468,1810,33468
ABJC M,2022-02,-3.58,31248110,1615,19290,1615,19290
ABJC M,2022-01,-4.29,32742820,1675,20960,1675,20960
ABJC M,2021-12,-12.28,48905860,1750,25974,1750,25974
ABJC M,2021-11,3.1,27024480,1995,13730,1995,13730
ABJC M,2021-10,6.32,85764310,1935,47802,1935,47802
ABJC M,2021-09,30.0,39006850,1820,25785,1820,25785
ABJC M,2021-08,8.53,38225100,1400,27319,1400,27319
ABJC M,2021-07,20.56,19782060,1290,17283,1290,17283
ABJC M,2021-06,2.88,39792995,1070,37718,1070,37718
ABJC M,2021-05,8.33,14178230,1040,14341,1040,14341
ABJC M,2021-04,6.08,7041160,960,7532,960,7532
ABJC M,2021-03,-3.21,7390875,905,7616,905,7616
ABJC M,2021-02,-12.21,20223385,935,21224,935,21224
ABJC M,2021-01,-14.11,10259575,1065,9536,1065,9536
ABJC M,2020-12,23.38,107775690,1240,92252,1240,92252
ABJC M,2020-11,21.82,43450950,1005,51457,1005,51457
ABJC M,2020-10,-2.94,5505095,825,7066,825,7066
ABJC M,2020-09,-13.27,9280515,850,11509,850,11509
ABJC M,2020-08,-10.91,65376935,980,61075,980,61075
ABJC M,2020-07,0.0,38181240,1100,31669,1100,31669
ABJC M,2020-06,10.0,11093735,1100,10656,1100,10656
ABJC M,2020-05,-4.76,12670765,1000,12425,1000,12425
ABJC M,2020-04,10.53,10858115,1050,10539,1050,10539
