Ticker,Exercice,Symbole,Nom,Dividende,Dividende ajusté,Rendement,Ex-dividende,Date paiement,Statut
ABJC,2023,ABJC,SERVAIR,206.195,206.195,8.57,26/09/2024,30/09/2024,
ABJC,2022,ABJC,SERVAIR,92,92,6.67,29/08/2023,31/08/2023,
ABJC,2021,ABJC,SERVAIR,57.73,57.73,3.56,22/08/2022,24/08/2022,
ABJC,2018,ABJC,SERVAIR,123.72,123.72,7.76,23/05/2019,27/05/2019,
ABJC,2018,ABJC,SERVAIR,41.24,41.24,3.59,26/09/2019,30/09/2019,
ABJC,2017,ABJC,SERVAIR,98.97,98.97,6.6,18/06/2018,20/06/2018,
ABJC,2016,ABJC,SERVAIR,49.5,49.5,1.84,21/07/2017,24/07/2017,
ABJC,2015,ABJC,SERVAIR,1800,90,1.11,14/06/2016,16/06/2016,
ABJC,2014,ABJC,SERVAIR,900,45,1.15,14/07/2015,16/07/2015,
ABJC,2013,ABJC,SERVAIR,450,22.5,1.96,07/07/2014,09/07/2014,
ABJC,1999,ABJC,SERVAIR,225,11.25,3.46,11/07/2000,13/07/2000,
BICB,2025,BICB,BIIC,254.6,254.6,4.9,11/09/2025,15/09/2025,
BICB,2024,BICB,BIIC,254.6,254.6,4.9,11/09/2025,15/09/2025,
BICC,2025,BICC,BICI,830.72,830.72,5.16,21/05/2025,23/05/2025,
BICC,2024,BICC,BICI,830.72,830.72,5.16,21/05/2025,23/05/2025,
BICC,2023,BICC,BICI,540.9,540.9,5.06,25/06/2024,27/06/2024,
BICC,2022,BICC,BICI,401.4,401.4,5.9,27/07/2023,31/07/2023,
BICC,2021,BICC,BICI,518,518,7.97,13/07/2022,15/07/2022,
BICC,2020,BICC,BICI,50,50,0.93,02/07/2021,06/07/2021,
BICC,2018,BICC,BICI,182.9,182.9,4.37,15/07/2019,17/07/2019,
BICC,2017,BICC,BICI,213.56,213.56,3.06,28/06/2018,02/07/2018,
BICC,2016,BICC,BICI,2771.41,277.141,3.08,21/07/2017,24/07/2017,
BICC,2015,BICC,BICI,4231.5,423.15,4.27,18/07/2016,20/07/2016,
BICC,2014,BICC,BICI,3305.02,330.502,3.63,27/07/2015,29/07/2015,
BICC,2013,BICC,BICI,4271.22,427.122,6.19,30/07/2014,01/08/2014,
BICC,2012,BICC,BICI,2443,244.3,5.73,17/06/2013,19/06/2013,
BICC,2011,BICC,BICI,1035,103.5,2.8,25/07/2012,27/07/2012,
BICC,2010,BICC,BICI,432,43.2,1.23,21/10/2011,24/10/2011,
BICC,2009,BICC,BICI,4320,432,11.08,04/06/2010,07/06/2010,
BICC,2008,BICC,BICI,3645,364.5,11.39,27/05/2009,29/05/2009,
BICC,2007,BICC,BICI,2448,244.8,6.99,25/06/2008,27/06/2008,
BICC,2006,BICC,BICI,2385,238.5,8.52,04/07/2007,06/07/2007,
