Ticker,Exercice,Symbole,Nom,Dividende,Dividende ajusté,Rendement,Ex-dividende,Date paiement,Statut
BICB,2025,BICB,BIIC,254.6,254.6,4.8,11/09/2025,15/09/2025,
BICC,2025,BICC,BICI,830.72,830.72,5.36,21/05/2025,23/05/2025,
BOAB,2025,BOAB,BOA BENIN,468,468,9.75,30/05/2025,03/06/2025,
BOABF,2025,BOABF,BOA BURKINA,428,428,10.57,17/04/2025,22/04/2025,
BOAC,2025,BOAC,BOA CI,469,469,6.71,16/05/2025,20/05/2025,
BOAM,2025,BOAM,BOA MALI,237.15,237.15,6.03,30/05/2025,03/06/2025,
BOAN,2025,BOAN,BOA NIGER,209.25,209.25,8.13,30/05/2025,03/06/2025,
BOAS,2025,BOAS,BOA SENEGAL,350,350,6.73,28/05/2025,02/06/2025,
CABC,2025,CABC,SICABLE,112.728,112.728,8.08,28/05/2025,02/06/2025,
CBIBF,2025,CBIBF,CORIS BANK,555,555,5.55,03/07/2025,07/07/2025,
CFAC,2025,CFAC,CFAO MOTORS,7.04,7.04,0.77,14/08/2025,19/08/2025,
CIEC,2025,CIEC,CIE,158.4,158.4,6.67,29/07/2025,31/07/2025,
ECOC,2025,ECOC,ECOBANK CI,707.52,707.52,5.67,27/05/2025,30/05/2025,
FTSC,2025,FTSC,FILTISAC,1760.59,1760.59,36.76,26/09/2025,30/09/2025,
LNBB,2025,LNBB,LNB,275.5,275.5,6.64,29/07/2025,31/07/2025,
NSBC,2025,NSBC,NSIA BANQUE,668.15,668.15,6.56,07/07/2025,09/07/2025,
NTLC,2025,NTLC,NESTLE,721.6,721.6,5.51,13/08/2025,18/08/2025,
ONTBF,2025,ONTBF,ONATEL,189.5299,189.5299,8.31,17/07/2025,21/07/2025,
ORAC,2025,ORAC,ORANGE CI,660,660,4.58,05/06/2025,11/06/2025,
PALC,2025,PALC,PALM CI,451.45056,451.45056,5.13,08/09/2025,10/09/2025,
PRSC,2025,PRSC,TRACTAFRIC MOTORS,182.16,182.16,6.94,26/09/2025,30/09/2025,
SDCC,2025,SDCC,SODE CI,352,352,5.63,26/09/2025,30/09/2025,
SDSC,2025,SDSC,BOLLORE,92,92,6.41,27/08/2025,29/08/2025,
SGBC,2025,SGBC,SGCI,1639.44,1639.44,5.97,01/08/2025,05/08/2025,
SHEC,,SHEC,VIVO ENERGY,75.29,75.29,6.38,(inconnue),(inconnue),
SIBC,2025,SIBC,SIB,330,330,6.12,29/07/2025,31/07/2025,
SLBC,2025,SLBC,SOLIBRA,1073.6,1073.6,5.79,25/07/2025,29/07/2025,
SMBC,2025,SMBC,SMB,609,609,6.28,11/09/2025,15/09/2025,
SNTS,2025,SNTS,SONATEL,1655,1655,6.39,20/05/2025,22/05/2025,
SOGC,2025,SOGC,SOGB,528,528,6.77,11/07/2025,15/07/2025,
SPHC,2025,SPHC,SAPH,323.84,323.84,4.67,15/07/2025,17/07/2025,
STBC,2025,STBC,SITAB,2090,2090,10.86,27/08/2025,29/08/2025,
TTLC,2025,TTLC,TOTAL CI,195.67486,195.67486,8.33,01/09/2025,03/09/2025,
TTLS,2025,TTLS,TOTAL SN,222.4,222.4,8.93,09/07/2025,11/07/2025,
