Ticker,Période,Période_détail,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
ABJC,1998,An,5058145257.0,4097845874.0,380331784.0,184506103.0,2837358174.0
BICC,1998,An,27987000000.0,345200000000.0,10773000000.0,3025000000.0,36531123162.0
BNBC,1998,An,16639404194.0,11803563000.0,1898663000.0,1134387797.0,8037583780.0
BOAB,1998,An,6486000000.0,129334910634.0,3597656000.0,1924257000.0,12971414344.0
BOAN,1998,An,,24438568846.0,,357842928.0,3157307680.0
CABC,1998,An,,8146936895.0,2005195931.0,1455008464.0,4762772688.0
ABJC,1999,An,5775785430.0,3328678277.0,1272009711.0,186424881.0,2250123111.0
BICC,1999,An,27951000000.0,337243000000.0,8182000000.0,3006000000.0,37325723010.0
BNBC,1999,An,13217340241.0,13455632511.0,1239073113.0,815301346.0,8133605126.0
BOAB,1999,An,6902000000.0,147319932526.0,3064424007.0,1903193403.0,14237402822.0
BOAN,1999,An,1613000000.0,18980888475.0,207605290.0,188647521.0,2775604925.0
CABC,1999,An,,7183004987.0,1338347143.0,978694229.0,4714942424.0
ABJC,2000,An,5071380830.0,3619773484.0,340819340.0,569412186.0,1637519925.0
BICC,2000,An,28231000000.0,343801433438.0,8468000000.0,3608000000.0,36391283144.0
BNBC,2000,An,10686961352.0,12583413597.0,261560431.0,114423528.0,7512788654.0
BOAB,2000,An,7924000000.0,176978391520.0,3653184859.0,2606102219.0,16430384504.0
BOAN,2000,An,1763000000.0,20893949362.0,481365550.0,301786602.0,3048282066.0
CABC,2000,An,,7379494557.0,-113117221.0,-156696564.0,3777515820.0
ABJC,2001,An,4756501501.0,2837696772.0,-361408513.0,-255797450.0,1381722475.0
BICC,2001,An,29873000000.0,314842000000.0,10368000000.0,3005000000.0,42393494294.0
BNBC,2001,An,9841511293.0,12430062341.0,536183708.0,152774611.0,6946883265.0
BOAB,2001,An,9853000000.0,222361324460.0,5080608627.0,3064195447.0,18637247609.0
BOAN,2001,An,1827000000.0,25645000000.0,341143306.0,244345041.0,3054844873.0
CABC,2001,An,5317167020.0,5727654319.0,123079481.0,115484084.0,3841492934.0
ABJC,2002,An,4414793456.0,2743118359.0,85836007.0,81518672.0,1463241147.0
BICC,2002,An,25236000000.0,284115000000.0,4676000000.0,574000000.0,
BNBC,2002,An,9219316881.0,11683127013.0,251183708.0,204094701.0,62440760222.0
BOAB,2002,An,,234343898839.0,,,22542667675.0
BOAN,2002,An,,28453708135.0,538986824.0,337119478.0,3310515745.0
CABC,2002,An,4600826188.0,5104775813.0,-138590485.0,-131378630.0,3568398487.0
ABJC,2003,An,3966023075.0,2743118359.0,104506832.0,86332514.0,1549573661.0
BICC,2003,An,25674000000.0,266380000000.0,6085000000.0,-1923000000.0,37714691709.0
BOAB,2003,An,,248087744932.0,5778907324.0,1775201849.0,21004165131.0
BOAN,2003,An,2111000000.0,26668248035.0,522638278.0,416752035.0,3183958116.0
CABC,2003,An,4847285986.0,5490478876.0,83487751.0,80267765.0,3374475580.0
ABJC,2004,An,3841861123.0,2294134915.0,19635977.0,-113921275.0,1435652386.0
BICC,2004,An,23212000000.0,276432133724.0,5907000000.0,4205000000.0,41906497079.0
BOAB,2004,An,12728000000.0,263422592369.0,6118878379.0,2259111040.0,25118276171.0
BOAN,2004,An,2527000000.0,32810313210.0,932063381.0,454301687.0,3465139557.0
CABC,2004,An,7149334977.0,5776873878.0,54306514.0,-9509709.0,3402796069.0
ABJC,2005,An,2943499455.0,1906313057.0,-551681494.0,-557209359.0,865443027.0
BICC,2005,An,22357000000.0,248475707620.0,4901000000.0,-1211000000.0,33817256076.0
BOAB,2005,An,13825000000.0,281714903556.0,6515166799.0,2188455090.0,26406731261.0
BOAN,2005,An,3110000000.0,39755587765.0,1213276294.0,434413481.0,3786529128.0
CABC,2005,An,5912366408.0,5589077402.0,-172768496.0,-287889677.0,3087844266.0
ABJC,2006,An,3084034346.0,1670719443.0,-300348742.0,-314213065.0,554229961.0
BICC,2006,An,22803000000.0,271954292079.0,5342000000.0,5198000000.0,37485601382.0
BNBC,2006,An,12199356351.0,,833281863.0,600533208.0,7183731070.0
BOAB,2006,An,,255257988854.0,5982914531.0,546847351.0,27403578612.0
BOAN,2006,An,4007000000.0,45710489202.0,1871122830.0,803000000.0,4374475798.0
CABC,2006,An,5717838392.0,5022587716.0,45767083.0,61575767.0,3284580779.0
ABJC,2007,An,3170777762.0,1516785349.0,-254099901.0,-266327257.0,287902704.0
BICC,2007,An,24744000000.0,307224000000.0,5852000000.0,4727000000.0,38741000000.0
BNBC,2007,An,18688274147.0,20742650123.0,1595635401.0,1122154056.0,8022774036.0
BOAB,2007,An,17796000000.0,349020211995.0,9474018119.0,3211963447.0,30565542059.0
BOAN,2007,An,4703000000.0,70541921829.0,2206986269.0,1067714950.0,5193906998.0
CABC,2007,An,9682151905.0,6823034641.0,622142407.0,435371317.0,3648404892.0
ABJC,2008,An,3656296208.0,1751103201.0,79082859.0,64852365.0,352755069.0
BICC,2008,An,27623000000.0,324912053193.0,9169000000.0,8137000000.0,42083721373.0
BNBC,2008,An,31250043791.0,,,,
BOAB,2008,An,22191000000.0,428399136517.0,12385081192.0,6004406328.0,37923766217.0
BOAN,2008,An,6376000000.0,94250271487.0,3465612998.0,1342001319.0,7449968601.0
CABC,2008,An,10119271467.0,6248797807.0,733061762.0,359161433.0,3671942108.0
ABJC,2009,An,4440944477.0,2524466634.0,486185726.0,441185574.0,1293940643.0
BICC,2009,An,28203000000.0,322766646092.0,8634000000.0,9596000000.0,45198588719.0
BNBC,2009,An,25701013329.0,,,,
BOAB,2009,An,26646116303.0,491095129474.0,15307040022.0,6584133232.0,43707899449.0
BOABF,2009,An,9904238873.0,176378766395.0,4412700656.0,2272138331.0,12135772494.0
BOAC,2009,An,10948981290.0,183995375213.0,4479707479.0,1827691606.0,11418907131.0
BOAN,2009,An,6762157428.0,110414688760.0,3509971493.0,1619114819.0,10795494996.0
CABC,2009,An,7105247747.0,8818087105.0,1151320572.0,641136365.0,4204555416.0
ABJC,2010,An,4090881385.0,2078506241.0,-246806568.0,-253149754.0,1040790889.0
BICC,2010,An,28438000000.0,362673000000.0,8986000000.0,800000000.0,44032136130.0
BNBC,2010,An,25482396761.0,,1841743506.0,1174596961.0,10407515914.0
BOAB,2010,An,28684604338.0,487270637706.0,15654480940.0,6582856084.0,51648504375.0
BOABF,2010,An,12337719695.0,228507510974.0,5695255665.0,3064001883.0,17330774377.0
BOAC,2010,An,10389826136.0,211114286594.0,2818550531.0,1759949476.0,14904109395.0
BOAN,2010,An,7122281968.0,139364361117.0,3222854846.0,2211491671.0,13631986667.0
CABC,2010,An,9389730903.0,9227905715.0,611686056.0,627280352.0,4605679336.0
ABJC,2011,An,2383578504.0,2027753027.0,-93723687.0,-48431777.0,992359112.0
BICC,2011,An,25441000000.0,383099000000.0,5057000000.0,2254000000.0,45252649919.0
BNBC,2011,An,27810398405.0,23388593477.0,1572928248.0,1769910590.0,11010011414.0
BOAB,2011,An,31627434096.0,551466541573.0,17386501136.0,7622546456.0,55736436250.0
BOABF,2011,An,15977729111.0,285949493567.0,8563647325.0,4897698202.0,22878472576.0
BOAC,2011,An,10014000000.0,213900000000.0,2763000000.0,-487000000.0,14448656108.0
BOAN,2011,An,8855428804.0,158544768316.0,4126026494.0,2764921320.0,18046907987.0
BOAS,2011,An,7331000000.0,134423000000.0,2744000000.0,2040000000.0,12585537265.0
CABC,2011,An,5989064872.0,8031958062.0,461065123.0,341332623.0,4088367910.0
ABJC,2012,An,3637838558.0,2246858831.0,268422880.0,185348742.0,1177707854.0
BICC,2012,An,26905000000.0,414982000000.0,6110000000.0,5234000000.0,46191101586.0
BNBC,2012,An,36597627434.0,27298808806.0,2747290812.0,2052431675.0,11547267999.0
BOAB,2012,An,32816778708.0,617867825978.0,16998439029.0,7826187450.0,57893414814.0
BOABF,2012,An,20574748182.0,348130404306.0,11466214957.0,7916249677.0,28954722253.0
BOAC,2012,An,12990830419.0,271331167038.0,4606200967.0,3118638843.0,10676372795.0
BOAN,2012,An,10080282525.0,187871342076.0,4575312737.0,3144147502.0,19591055489.0
BOAS,2012,An,8964000000.0,156829000000.0,3669000000.0,2364000000.0,16099670930.0
CABC,2012,An,8250403441.0,8610116181.0,1338518836.0,970832267.0,4695309786.0
ABJC,2013,An,5936997134.0,3181279630.0,941747038.0,650949363.0,1828687217.0
