Ticker,Type,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
ABJC,Annuel,An,2024,* Données annuelles en XOF,12466921255,2100227044,17941052,2118168096,-4503390,1519221935,9080240464,,,,,,,,
ABJC,Annuel,An,2023,* Données annuelles en XOF,11254100343,1966557179,20784329,1887341508,-,1335324958,12116077537,,,,,,,,
ABJC,Annuel,An,2022,* Données annuelles en XOF,10804244269,1870413228,107028516,1977441744,-,1268616196,10181992141,,,,,,,,
ABJC,Annuel,An,2021,* Données annuelles en XOF,8377372850,904931750,83211617,988143367,209746,953353113,7929825517,,,,,,,,
ABJC,Annuel,An,2020,* Données annuelles en XOF,5707724950,-1036799412,79295673,-957503739,2542374,-985334838,6541501558,,,,,,,,
ABJC,Annuel,An,2019,* Données annuelles en XOF,12195637944,1995167508,26867926,2022035534,7174019,1532787784,8083601728,,,,,,,,
ABJC,Annuel,An,2018,* Données annuelles en XOF,12217280182,2012163156,13072636,2025235792,-1297667,1509605657,8651487602,,,,,,,,
ABJC,Annuel,An,2017,* Données annuelles en XOF,13367430980,910336320,-95176717,815159603,722007391,992622642,9576510834,,,,,,,,
ABJC,Annuel,An,2016,* Données annuelles en XOF,12069724684,1551890657,-100511572,1451379085,271901,1047333230,8590820550,,,,,,,,
ABJC,Annuel,An,2015,* Données annuelles en XOF,10798118386,2180387359,-41172815,2139214544,1372837,1582327569,8415117319,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2024,* Données semestrielles en milliers de XOF,5992,944846,4988,949834,-4503,708998,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2023,* Données semestrielles en milliers de XOF,5475013,931328,11671,942999,0,707249,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2022,* Données semestrielles en milliers de XOF,4842727,982049,52531,1034581,-,779721,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2021,* Données semestrielles en milliers de XOF,3554427,175965,41869,217834,-,163376,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2020,* Données semestrielles en milliers de XOF,2869634,-505044,39305,-465739,-,-480087,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2019,* Données semestrielles en milliers de XOF,5985253,1042584,12621,1055205,-,797730,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2018,* Données semestrielles en milliers de XOF,5536146,799452,-39072,760380,-,571843,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2017,* Données semestrielles en milliers de XOF,6505009,766052,-46168,719884,-,540034,,,,,,,,,
ABJC,Semestriel,S1,1ersemestre2016,* Données semestrielles en milliers de XOF,5736130,738831,-56375,682456,-,513565,,,,,,,,,
ABJC,Trimestriel,T1,1ertrimestre2025,* Données trimestrielles en milliers de XOF,3175808,,,451418,,345949,,,,,,,,,
ABJC,Trimestriel,T1,1ertrimestre2024,* Données trimestrielles en milliers de XOF,3078618,,,484925,,371355,,,,,,,,,
ABJC,Trimestriel,T1,1ertrimestre2023,* Données trimestrielles en milliers de XOF,2686955,,,368505,,293221,,,,,,,,,
ABJC,Trimestriel,T1,1ertrimestre2022,* Données trimestrielles en milliers de XOF,2312139,,,472178,,354300,,,,,,,,,
ABJC,Trimestriel,T1,1ertrimestre2017,* Données trimestrielles en milliers de XOF,3274372,,,459205,,319794,,,,,,,,,
