Ticker,Période_détail,Période,en XOF,Chiffre d'Affaires,Résultat d'Exploitation,Résultat Financier,Résultat des activités ordinaires,Résultat Hors Activités Ordinaires,Résultat Net,Total Bilan,Unnamed: 12,Produit net bancaire,Résultat Brut d'Exploitation,Coût du risque,Créances sur la clientèle,Dettes à l'égard de la clientèle,Résultat avant impôts,EBITDAal
ABJC,An,2024,XOF,12466921255.0,2100227044.0,17941052.0,2118168096.0,-4503390.0,1519221935.0,9080240464.0,,,,,,,,
ABJC,An,2023,XOF,11254100343.0,1966557179.0,20784329.0,1887341508.0,,1335324958.0,12116077537.0,,,,,,,,
ABJC,An,2022,XOF,10804244269.0,1870413228.0,107028516.0,1977441744.0,,1268616196.0,10181992141.0,,,,,,,,
ABJC,An,2021,XOF,8377372850.0,904931750.0,83211617.0,988143367.0,209746.0,953353113.0,7929825517.0,,,,,,,,
ABJC,An,2020,XOF,5707724950.0,-1036799412.0,79295673.0,-957503739.0,2542374.0,-985334838.0,6541501558.0,,,,,,,,
ABJC,An,2019,XOF,12195637944.0,1995167508.0,26867926.0,2022035534.0,7174019.0,1532787784.0,8083601728.0,,,,,,,,
ABJC,An,2018,XOF,12217280182.0,2012163156.0,13072636.0,2025235792.0,-1297667.0,1509605657.0,8651487602.0,,,,,,,,
ABJC,An,2017,XOF,13367430980.0,910336320.0,-95176717.0,815159603.0,722007391.0,992622642.0,9576510834.0,,,,,,,,
ABJC,An,2016,XOF,12069724684.0,1551890657.0,-100511572.0,1451379085.0,271901.0,1047333230.0,8590820550.0,,,,,,,,
ABJC,An,2015,XOF,10798118386.0,2180387359.0,-41172815.0,2139214544.0,1372837.0,1582327569.0,8415117319.0,,,,,,,,
ABJC,S1,2024,XOF,5992000.0,944846000.0,4988000.0,949834000.0,-4503000.0,708998000.0,,,,,,,,,
ABJC,S1,2023,XOF,5475013000.0,931328000.0,11671000.0,942999000.0,0.0,707249000.0,,,,,,,,,
ABJC,S1,2022,XOF,4842727000.0,982049000.0,52531000.0,1034581000.0,,779721000.0,,,,,,,,,
ABJC,S1,2021,XOF,3554427000.0,175965000.0,41869000.0,217834000.0,,163376000.0,,,,,,,,,
ABJC,S1,2020,XOF,2869634000.0,-505044000.0,39305000.0,-465739000.0,,-480087000.0,,,,,,,,,
ABJC,S1,2019,XOF,5985253000.0,1042584000.0,12621000.0,1055205000.0,,797730000.0,,,,,,,,,
