Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
ABJC,An,2024,12466921255.0,9080240464.0,2100227044.0,1519221935.0,
ABJC,An,2023,11254100343.0,12116077537.0,1966557179.0,1335324958.0,
ABJC,An,2022,10804244269.0,10181992141.0,1870413228.0,1268616196.0,
ABJC,An,2021,8377372850.0,7929825517.0,904931750.0,953353113.0,
ABJC,An,2020,5707724950.0,6541501558.0,-1036799412.0,-985334838.0,
ABJC,An,2019,12195637944.0,8083601728.0,1995167508.0,1532787784.0,
ABJC,An,2018,12217280182.0,8651487602.0,2012163156.0,1509605657.0,
ABJC,An,2017,13367430980.0,9576510834.0,910336320.0,992622642.0,
ABJC,An,2016,12069724684.0,8590820550.0,1551890657.0,1047333230.0,
ABJC,An,2015,10798118386.0,8415117319.0,2180387359.0,1582327569.0,
ABJC,S1,2024,5992000.0,,944846000.0,708998000.0,
ABJC,S1,2023,5475013000.0,,931328000.0,707249000.0,
ABJC,S1,2022,4842727000.0,,982049000.0,779721000.0,
ABJC,S1,2021,3554427000.0,,175965000.0,163376000.0,
ABJC,S1,2020,2869634000.0,,-505044000.0,-480087000.0,
ABJC,S1,2019,5985253000.0,,1042584000.0,797730000.0,
ABJC,S1,2018,5536146000.0,,799452000.0,571843000.0,
ABJC,S1,2017,6505009000.0,,766052000.0,540034000.0,
ABJC,S1,2016,5736130000.0,,738831000.0,513565000.0,
ABJC,T1,2024,3078618000.0,,,371355000.0,
ABJC,T1,2023,2686955000.0,,,293221000.0,
ABJC,T1,2022,2312139000.0,,,354300000.0,
ABJC,T1,2017,3274372000.0,,,319794000.0,
ABJC,T1,2016,2817913000.0,,,242008000.0,
ABJC,T3,2024,9265350000.0,,,1130926000.0,
ABJC,T3,2023,8423103000.0,,,1182024000.0,
ABJC,T3,2022,7811642000.0,,,1258015000.0,
BICB,An,2024,45207000000.0,1520447000000.0,30250000000.0,30341000000.0,
BICB,An,2023,39196000000.0,1340710000000.0,27438000000.0,27270000000.0,
BICB,An,2022,24209000000.0,1000782000000.0,14344000000.0,10705000000.0,
BICB,An,2021,14898000000.0,627594000000.0,7414000000.0,5776000000.0,
BICB,An,2020,7000000000.0,264100000000.0,400000000.0,1200000000.0,
BICB,S1,2024,20084000000.0,1403787000000.0,12720000000.0,10784000000.0,
BICB,S1,2023,16991000000.0,1156990000000.0,10786000000.0,10806000000.0,
BICC,An,2024,68063000000.0,1015578000000.0,30077000000.0,26226000000.0,
BICC,An,2023,55506000000.0,920563000000.0,16814000000.0,16694000000.0,
BICC,An,2022,47275000000.0,926252000000.0,14809000000.0,12391000000.0,
BICC,An,2021,44167000000.0,847724000000.0,13363000000.0,9603000000.0,
BICC,An,2020,45315000000.0,831386000000.0,10190000000.0,4672000000.0,
BICC,An,2019,45937000000.0,748861000000.0,13880000000.0,-3612000000.0,
BICC,An,2018,48787000000.0,677786000000.0,16424000000.0,9793000000.0,
BICC,An,2017,48767000000.0,647647000000.0,18748000000.0,9287000000.0,
BICC,An,2016,42323000000.0,643083000000.0,17466000000.0,12047000000.0,
BICC,An,2015,38328000000.0,594718000000.0,12794000000.0,9202000000.0,
BICC,S1,2024,31852000000.0,,13159000000.0,11405000000.0,
BICC,S1,2023,25813000000.0,,8029000000.0,7226000000.0,
BICC,S1,2022,23146000000.0,,7611000000.0,6105000000.0,
BICC,S1,2021,20949000000.0,,6170000000.0,4413000000.0,
BICC,S1,2020,23380000000.0,,7297000000.0,4715000000.0,
BICC,S1,2019,23027000000.0,,6057000000.0,704000000.0,
BICC,S1,2018,24257000000.0,,6867000000.0,4220000000.0,
BICC,S1,2017,22376000000.0,,8296000000.0,5994000000.0,
