Ticker,Secteur d'activité,Symbole,Quantité totale de titres,Quantité de titres du flottant,Capital social,Cours de l'action,Capitalisation boursière,Volume moyen,Book value (BV),Book value per share (BVPS),Price Earning Ratio (PER),PER relatif sectoriel,Price-to-Book Ratio (PBR),Levrage,Gearing,PBR relatif sectoriel,Price-to-Sales (PSR),Return on equity (ROE),Return on Asset (ROA),Bénéfice net par action (BNPA),Statut
ABJC,Consommationdiscrétionnaire,ABJC,10912000,2182380,1364000000,1790,19532480000,1380,3808533996,349,12.86,0.04,5.13,,,0.97,1.57,0.4,0.17,139.22,
BICB,Servicesfinanciers,BICB,57759800,17558979,82514000000,5060,292264588000,1366,125910000000,2180,9.63,1.07,2.32,,,1.17,,0.24,0.02,525.3,
BICC,Servicesfinanciers,BICC,16666670,5418860,25000005000,16000,266666720000,3611,99783000000,5987,10.17,1.13,2.67,,,1.34,,0.26,0.03,1573.56,
BNBC,Consommationdiscrétionnaire,BNBC,6624000,2313080,1656000000,1555,10300320000,3659,17747636000,2679,1408.49,4.75,0.58,7.53,0.92,0.11,0.23,0,0,1.1,
BOAB,Servicesfinanciers,BOAB,40561048,18396252,40561048000,4990,202399629520,3116,117396000000,2894,10.3,1.15,1.72,,,0.86,,0.17,0.02,484.38,
BOABF,Servicesfinanciers,BOABF,44000000,19149000,44000000000,4200,184800000000,3133,129272000000,2938,8.24,0.92,1.43,,,0.72,,0.17,0.02,509.52,
BOAC,Servicesfinanciers,BOAC,40000000,11050880,40000000000,7500,300000000000,3824,112644000000,2816,9.36,1.04,2.66,,,1.34,,0.28,0.03,801.1,
BOAM,Servicesfinanciers,BOAM,27450000,26882850,27450000000,3805,104447250000,4613,46195000000,1683,11.45,1.28,2.26,,,1.14,,0.2,0.02,332.35,
BOAN,Servicesfinanciers,BOAN,20800000,8428736,20800000000,2545,52936000000,4694,42156000000,2027,10.58,1.18,1.26,,,0.63,,0.12,0.02,240.48,
BOAS,Servicesfinanciers,BOAS,36000000,11356920,36000000000,5295,190620000000,5532,88621000000,2462,9.54,1.06,2.15,,,1.08,,0.23,0.03,555.11,
CABC,Industriels,CABC,5920000,2882800,740000000,1380,8169600000,1202,8039445600,1358,6.67,0.87,1.02,-1.57,-0.38,0.18,0.43,0.15,0.06,206.9,
CBIBF,Servicesfinanciers,CBIBF,32000000,6400000,32000000000,9185,293920000000,1289,,,6.13,0.68,,,,,,,0.02,1498.03,
CFAC,Consommationdiscrétionnaire,CFAC,181371900,7529000,9068595000,940,170489586000,10955,19452985667,107,36.32,0.12,8.76,0.18,0.09,1.66,1.08,0.24,0.06,25.88,
CIEC,Servicespublics,CIEC,56000000,25731480,14000000000,2395,134120000000,3501,32915000000,588,13.28,0.92,4.07,1.05,0.96,1.15,0.51,0.31,0.01,180.38,
ECOC,Servicesfinanciers,ECOC,55050600,12617000,27525000000,12475,686756235000,1148,199352000000,3621,11.95,1.33,3.44,,,1.73,,0.29,0.03,1044.08,
ETIT,,,,,,,,,,,,,,,,,,,,,Aucune donnée
FTSC,Industriels,FTSC,14103740,4709112,8814837500,4635,65370834900,10150,43454156000,3081,3.52,0.46,1.5,,,0.26,2.13,0.43,0.3,1318.46,
LNBB,Consommationdiscrétionnaire,LNBB,20000000,9000000,2000000000,4305,86100000000,2475,23615000000,1181,12,0.04,3.65,-0.46,-0.1,0.69,0.84,0.3,0.25,358.8,
NEIC,Consommationdiscrétionnaire,NEIC,12765825,2296575,255316500,660,8425444500,1281,3718272026,291,,,2.27,-5.87,-0.95,0.43,1.25,-0.2,-0.11,,
NSBC,Servicesfinanciers,NSBC,24734572,4946915,24734572000,10995,271956619140,2165,215330000000,8706,7.14,0.8,1.26,,,0.63,,0.18,0.02,1540.84,
NTLC,Consommationdebase,NTLC,22070400,4422940,5517600000,13000,286915200000,2877,29258935686,1326,15.81,0.28,9.81,1.91,2.84,2.8,1.3,0.62,0.1,822.37,
ONTBF,Télécommunications,ONTBF,68000000,15640000,34000000000,2295,156060000000,7516,62561326000,920,7.27,0.78,2.49,0.95,0.98,0.98,1.1,0.34,0.07,315.75,
ORAC,Télécommunications,ORAC,150655350,14240207,6026000000,14900,2244764715000,1845,713800000000,4738,14.19,1.52,3.14,,,1.23,2.07,0.22,0.07,1050.08,
ORGT,Servicesfinanciers,ORGT,69415031,13883007,69733831000,1805,125294130955,2534,96720000000,1393,,,1.3,,,0.65,,-0.46,-0.01,,
