Ticker,Date_Changement,Ratio_Event,k_pq,cap_pre,cap_post,cap_change_pct,Decision,Confidence,Reason
ABJC,2016-09-30,0.05,1:20,90842400000.0,71746400000.0,-0.21021021021021022,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BICC,2017-10-09,0.1,1:10,138675027735.0,148250029650.0,0.06904633135027943,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BNBC,2017-07-27,0.05,1:20,34444800000.0,38419200000.0,0.11538461538461539,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BOAB,2017-06-20,0.5,1:2,217503506870.0,208889356000.0,-0.0396046527891093,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BOAB,2017-10-31,0.1,1:10,141963640000.0,147033799000.0,0.03571448999194442,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BOAB,2024-09-03,0.5,1:2,152103930000.0,182930326480.0,0.20266666666666666,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BOABF,2017-06-27,0.5,1:2,220000000000.0,219780000000.0,-0.001,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BOABF,2017-10-24,0.1,1:10,164538000000.0,167200000000.0,0.016178633507153362,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BOABF,2024-08-28,0.5,1:2,150260000000.0,176000000000.0,0.17130307467057102,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BOAC,2017-06-21,0.5,1:2,172000000000.0,176960000000.0,0.02883720930232558,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BOAC,2017-10-26,0.1,1:10,80980000000.0,74500000000.0,-0.0800197579649296,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BOAC,2024-10-25,0.5,1:2,207900000000.0,232000000000.0,0.11592111592111592,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BOAM,2017-09-20,0.6666666666666666,2:3,85400000000.0,91500000000.0,0.07142857142857142,Split/Regroupement,0.9,Ratio simple p:q et capitalisation ~inchangée
BOAM,2017-12-22,0.2,1:5,84546000000.0,95160000000.0,0.12554112554112554,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
BOAM,2024-08-28,0.6666666666666666,2:3,36966000000.0,45292500000.0,0.22524752475247525,Split/Regroupement,0.7,Ratio simple p:q mais variation cap ambiguë
