ticker,Société,Secteur d'activité,Pays,Introduction à la BRVM,Nombre de titres,Flottant,Site Web,Présentation,Déterminants Sectoriel,Logo_Path
ABJC,SERVAIR ABIDJAN,Consommation discrétionnaire,Côte d'Ivoire,31 Mars 2000,10912000,20.0,http://www.servairabidjan.ci/,,,logos_richbourse/ABJC.png
BICB,Banque Internationale pour l'Industrie et le Commerce,Services financiers,Bénin,28 Avril 2025,57759800,30.4,https://www.biic-bank.com/,,,logos_richbourse/BICB.png
BICC,Banque Internationale pour le Commerce et l'Industrie de Côte d'Ivoire,Services financiers,Côte d'Ivoire,16 Septembre 1998,16666670,32.51,https://www.bicici.com/,,,logos_richbourse/BICC.png
BNBC,BERNABE,Consommation discrétionnaire,Côte d'Ivoire,16 Septembre 1998,6624000,34.92,https://www.bernabeafrique.com/bernabe-ci.html?lang=fr,,,logos_richbourse/BNBC.png
BOAB,Bank of Africa Bénin,Services financiers,Bénin,17 Novembre 2000,40561048,45.35,https://www.boabenin.com/,,,logos_richbourse/BOAB.png
BOABF,Bank of Africa Burkina Faso,Services financiers,Burkina Faso,30 Décembre 2010,44000000,43.52,https://www.boaburkinafaso.com/,,,logos_richbourse/BOABF.png
BOAC,Bank of Africa Côte d'Ivoire,Services financiers,Côte d'Ivoire,07 Avril 2010,40000000,27.63,https://boacoteivoire.com/,,,logos_richbourse/BOAC.png
BOAM,Bank of Africa Mali,Services financiers,Mali,31 Mai 2016,27450000,97.93,https://www.boamali.com/,,,logos_richbourse/BOAM.png
BOAN,Bank of Africa Niger,Services financiers,Niger,30 Décembre 2003,20800000,40.52,https://www.boaniger.com/,,,logos_richbourse/BOAN.png
BOAS,Bank of Africa Sénégal,Services financiers,Sénégal,09 Décembre 2014,36000000,31.55,https://www.boasenegal.com/,,,logos_richbourse/BOAS.png
CABC,Société Ivoirienne de Câbles (SICABLE),Industriels,Côte d'Ivoire,16 Septembre 1998,5920000,48.7,http://www.sicable.ci/,,,logos_richbourse/CABC.png
CBIBF,CORIS Bank International,Services financiers,Burkina Faso,23 Décembre 2016,32000000,20.0,http://www.coris-bank.com/,,,logos_richbourse/CBIBF.png
CFAC,Compagnie Française de l'Afrique Occidentale en Côte d'Ivoire (CFAO CI),Consommation discrétionnaire,Côte d'Ivoire,16 Septembre 1998,181371900,4.15,https://cfaomotors-cotedivoire.com/,,,logos_richbourse/CFAC.png
CIEC,Compagnie Ivoirienne d'Electricité,Services publics,Côte d'Ivoire,16 Septembre 1998,56000000,45.95,https://www.cie.ci/,,,logos_richbourse/CIEC.png
ECOC,ECOBANK COTE D'IVOIRE,Services financiers,Côte d'Ivoire,12 Décembre 2017,55050600,22.92,https://www.ecobank.com/ci/personal-banking/countries,,,logos_richbourse/ECOC.png
ETIT,Ecobank Transnational Incorporated (ETI),Services financiers,Togo,11 Septembre 2006,18084106722,4.27,https://www.ecobank.com,,,logos_richbourse/ETIT.png
FTSC,"Filature, Tissage, Sacs de Côte d'Ivoire (FILTISAC)",Industriels,Côte d'Ivoire,16 Septembre 1998,14103740,33.39,https://www.filtisac.com/,,,logos_richbourse/FTSC.png
LNBB,Loterie Nationale du Bénin,Consommation discrétionnaire,Bénin,13 Décembre 2024,20000000,45.0,https://www.loteriebenin.bj/,,,logos_richbourse/LNBB.png
NEIC,Nouvelles Editions Ivoiriennes - Centre d'Editions et de Diffusion Africaines de Côte d'Ivoire (NEI),Consommation discrétionnaire,Côte d'Ivoire,14 Avril 2000,12765825,17.99,http://www.neiceda.com/,,,logos_richbourse/NEIC.png
NSBC,Nouvelle Société Interafricaine de Banque Côte d'Ivoire,Services financiers,Côte d'Ivoire,24 Octobre 2017,24734572,20.0,https://www.nsiabanque.ci/,,,logos_richbourse/NSBC.png
NTLC,NESTLE Côte d'Ivoire,Consommation de base,Côte d'Ivoire,16 Septembre 1998,22070400,20.04,https://www.nestle-cwa.com/fr,,,logos_richbourse/NTLC.png
ONTBF,Office National des Télécommunications du Burkina Faso (ONATEL),Télécommunications,Burkina Faso,30 Avril 2009,68000000,23.0,https://onatel.bf/,,,logos_richbourse/ONTBF.png
ORAC,Orange Côte d'Ivoire,Télécommunications,Côte d'Ivoire,30 Décembre 2022,150655350,9.45,https://groupe.orange.ci/,,,logos_richbourse/ORAC.png
ORGT,ORAGROUP S.A.,Services financiers,Togo,16 Avril 2019,69415031,20.0,https://www.orabank.net/fr,,,logos_richbourse/ORGT.png
PALC,Palm Côte d'Ivoire SA (PALM CI),Consommation de base,Côte d'Ivoire,18 Octobre 1999,15459316,32.9,https://www.groupesifca.com/palmci.php,,,logos_richbourse/PALC.png
PRSC,Tractafric Motors,Consommation discrétionnaire,Côte d'Ivoire,16 Septembre 1998,10240000,100.0,https://www.tractafrictmc-ci.com/fr,,,logos_richbourse/PRSC.png
SAFC,Société Africaine de Crédit Automobile de Côte d'Ivoire (SAFCA),Services financiers,Côte d'Ivoire,16 Septembre 1998,8119750,29.43,https://www.alios-finance.com,,,logos_richbourse/SAFC.png
SCRC,SUCRIVOIRE,Consommation de base,Côte d'Ivoire,29 Décembre 2016,19600000,23.0,https://www.groupesifca.com/sucrivoire.php,,,logos_richbourse/SCRC.png
SDCC,Société de Distribution d'Eau de Côte d'Ivoire (SODECI),Services publics,Côte d'Ivoire,16 Septembre 1998,9000000,49.53,https://www.sodeci.ci/,,,logos_richbourse/SDCC.png
SDSC,BOLLORE AFRICA LOGISTICS,Industriels,Côte d'Ivoire,16 Septembre 1998,54435300,25.01,https://www.bollore-logistics.com/fr/pays/cote-divoire/,,,logos_richbourse/SDSC.png
SEMC,Société Ivoirienne d'Emballage Métallique CROWN SIEM,Industriels,Côte d'Ivoire,16 Septembre 1998,25189600,10.42,https://www.crowncork.com/,,,logos_richbourse/SEMC.png
SGBC,Société Générale de Banques en Côte d'Ivoire (SG / SGBCI),Services financiers,Côte d'Ivoire,16 Septembre 1998,31111110,43.35,https://societegenerale.ci/fr/,,,logos_richbourse/SGBC.png
SHEC,VIVO ENERGY,Energie,Côte d'Ivoire,16 Septembre 1998,63000000,28.33,https://www.vivoenergy.com/fr-FR,,,logos_richbourse/SHEC.png
SIBC,Société Ivoirienne de Banque,Services financiers,Côte d'Ivoire,27 Octobre 2016,100000000,20.0,http://www.sib.ci/,,,logos_richbourse/SIBC.png
SICC,Société Ivoirienne de Coco Râpé (SICOR),Consommation de base,Côte d'Ivoire,16 Septembre 1998,600000,12.26,,,,logos_richbourse/SICC.png
SIVC,Air Liquide Côte d'Ivoire,Industriels,Côte d'Ivoire,19 Avril 1999,8734000,27.92,http://www.ci.airliquide.com/,,,logos_richbourse/SIVC.png
SLBC,Société de Limonaderies et Brasseries d'Afrique (SOLIBRA),Consommation de base,Côte d'Ivoire,16 Septembre 1998,16460840,18.6,https://www.solibra.ci/,,,logos_richbourse/SLBC.png
