Ticker,Année,PER Action,PER Secteur,PBR Action,PBR Secteur,Gearing,Marge d'exploitation,Taux de profitabilité,ROE,Statut
ABJC,2025,13.49,157.94,4.56,2.73,,,,,
ABJC,2024,15.28,38.09,4.26,2.16,,,,,
ABJC,2023,12.15,12.10,3.15,2.82,,,,,
ABJC,2022,9.65,25.06,5.10,3.58,,,,,
ABJC,2021,2.26,27.05,4.43,2.84,,,,,
BICB,2025,5.86,7.78,1.52,1.65,,,,,
BICB,2024,,6.10,,1.30,,,,,
BICB,2023,,6.51,,1.24,,,,,
BICB,2022,,8.91,,1.37,,,,,
BICB,2021,,11.25,,1.21,,,,,
BICC,2025,12.01,7.78,2.83,1.65,,,,,
BICC,2024,10.44,6.10,1.97,1.30,,,,,
BICC,2023,9.84,6.51,1.51,1.24,,,,,
BICC,2022,14.09,8.91,1.54,1.37,,,,,
BICC,2021,14.19,11.25,1.56,1.21,,,,,
BNBC,2025,738.18,157.94,0.44,2.73,,,,,
BNBC,2024,138.05,38.09,0.41,2.16,,,,,
BNBC,2023,6.95,12.10,0.66,2.82,,,,,
BNBC,2022,13.49,25.06,0.89,3.58,,,,,
BNBC,2021,15.51,27.05,0.62,2.84,,,,,
BOAB,2025,8.70,7.78,1.33,1.65,,,,,
BOAB,2024,6.14,6.10,1.13,1.30,,,,,
BOAB,2023,6.81,6.51,1.00,1.24,,,,,
BOAB,2022,7.70,8.91,1.27,1.37,,,,,
BOAB,2021,6.56,11.25,0.50,1.21,,,,,
BOABF,2025,6.80,7.78,1.00,1.65,,,,,
BOABF,2024,4.65,6.10,1.08,1.30,,,,,
BOABF,2023,5.41,6.51,1.29,1.24,,,,,
BOABF,2022,6.15,8.91,1.63,1.37,,,,,
BOABF,2021,5.54,11.25,1.19,1.21,,,,,
BOAC,2025,7.49,7.78,2.10,1.65,,,,,
BOAC,2024,5.89,6.10,1.56,1.30,,,,,
BOAC,2023,5.71,6.51,1.30,1.24,,,,,
BOAC,2022,6.06,8.91,0.96,1.37,,,,,
BOAC,2021,5.83,11.25,1.31,1.21,,,,,
BOAM,2025,9.11,7.78,1.65,1.65,,,,,
BOAM,2024,7.26,6.10,0.84,1.30,,,,,
BOAM,2023,10.54,6.51,0.74,1.24,,,,,
BOAM,2022,18.91,8.91,0.81,1.37,,,,,
BOAM,2021,39.50,11.25,0.77,1.21,,,,,
BOAN,2025,9.21,7.78,1.26,1.65,,,,,
BOAN,2024,6.23,6.10,1.30,1.30,,,,,
BOAN,2023,7.14,6.51,1.63,1.24,,,,,
BOAN,2022,8.99,8.91,1.96,1.37,,,,,
BOAN,2021,7.12,11.25,1.40,1.21,,,,,
BOAS,2025,7.32,7.78,1.65,1.65,,,,,
BOAS,2024,5.61,6.10,1.27,1.30,,,,,
BOAS,2023,4.60,6.51,1.07,1.24,,,,,
BOAS,2022,5.88,8.91,1.14,1.37,,,,,
BOAS,2021,5.85,11.25,0.99,1.21,,,,,
CABC,2025,5.72,8.18,0.93,3.74,,,,,
CABC,2024,4.59,20.90,0.86,2.76,,,,,
CABC,2023,38.44,29.92,1.03,2.37,,,,,
CABC,2022,128.31,39.33,1.10,2.69,,,,,
CABC,2021,7.24,8.87,1.11,2.13,,,,,
CBIBF,2025,5.95,7.78,0.53,1.65,,,,,
CBIBF,2024,4.99,6.10,1.10,1.30,,,,,
CBIBF,2023,5.04,6.51,1.18,1.24,,,,,
CBIBF,2022,7.01,8.91,1.65,1.37,,,,,
CBIBF,2021,8.16,11.25,1.61,1.21,,,,,
CFAC,2025,21.86,157.94,3.15,2.73,,,,,
CFAC,2024,21.04,38.09,2.63,2.16,,,,,
CFAC,2023,25.64,12.10,7.77,2.82,,,,,
CFAC,2022,34.66,25.06,7.23,3.58,,,,,
CFAC,2021,31.78,27.05,5.44,2.84,,,,,
CIEC,2025,12.77,13.15,3.98,3.44,,,,,
CIEC,2024,10.44,9.95,3.26,2.81,,,,,
CIEC,2023,11.66,10.65,3.51,2.96,,,,,
CIEC,2022,10.83,10.50,3.74,3.14,,,,,
CIEC,2021,9.07,8.94,3.33,2.76,,,,,
ECOC,2025,10.41,7.78,2.65,1.65,,,,,
ECOC,2024,8.75,6.10,2.37,1.30,,,,,
ECOC,2023,7.63,6.51,1.72,1.24,,,,,
ECOC,2022,7.70,8.91,1.57,1.37,,,,,
ECOC,2021,7.19,11.25,0.34,1.21,,,,,
ETIT,2025,1.05,7.78,0.27,1.65,,,,,
ETIT,2024,1.28,6.10,0.28,1.30,,,,,
ETIT,2023,1.54,6.51,0.27,1.24,,,,,
ETIT,2022,2.11,8.91,0.27,1.37,,,,,
ETIT,2021,4.15,11.25,0.22,1.21,,,,,
FTSC,2025,8.56,8.18,1.28,3.74,,,,,
FTSC,2024,65.97,20.90,0.90,2.76,,,,,
FTSC,2023,74.72,29.92,0.75,2.37,,,,,
FTSC,2022,2.17,39.33,0.77,2.69,,,,,
FTSC,2021,8.48,8.87,0.87,2.13,,,,,
LNBB,2025,19.75,157.94,3.31,2.73,,,,,
LNBB,2024,1.23,38.09,0.14,2.16,,,,,
LNBB,2023,,12.10,,2.82,,,,,
LNBB,2022,,25.06,,3.58,,,,,
LNBB,2021,,27.05,,2.84,,,,,
NEIC,2025,3.01,157.94,1.89,2.73,,,,,
NEIC,2024,8.04,38.09,1.74,2.16,,,,,
NEIC,2023,7.62,12.10,1.91,2.82,,,,,
NEIC,2022,9.87,25.06,2.68,3.58,,,,,
NEIC,2021,6.33,27.05,1.84,2.84,,,,,
NSBC,2025,5.93,7.78,0.98,1.65,,,,,
NSBC,2024,4.51,6.10,0.84,1.30,,,,,
NSBC,2023,4.57,6.51,0.87,1.24,,,,,
NSBC,2022,9.05,8.91,1.07,1.37,,,,,
NSBC,2021,13.71,11.25,1.08,1.21,,,,,
NTLC,2025,13.18,50.36,8.05,3.20,,,,,
NTLC,2024,9.74,20.16,4.86,2.01,,,,,
NTLC,2023,9.58,120.10,5.65,3.68,,,,,
NTLC,2022,6.88,237.44,4.34,4.24,,,,,
NTLC,2021,2.73,27.45,43.54,6.74,,,,,
ONTBF,2025,7.89,9.82,2.53,2.67,,,,,
ONTBF,2024,7.81,8.97,2.57,2.46,,,,,
ONTBF,2023,7.34,7.70,2.79,2.31,,,,,
ONTBF,2022,8.55,7.33,3.62,2.76,,,,,
ONTBF,2021,7.79,7.23,3.22,2.54,,,,,
ORAC,2025,14.92,9.82,3.28,2.67,,,,,
ORAC,2024,12.78,8.97,2.76,2.46,,,,,
ORAC,2023,9.91,7.70,2.34,2.31,,,,,
ORAC,2022,0.04,7.33,0.01,2.76,,,,,
ORAC,2021,,7.23,,2.54,,,,,
ORGT,2025,,7.78,1.02,1.65,,,,,
ORGT,2024,2.72,6.10,0.91,1.30,,,,,
ORGT,2023,9.47,6.51,1.11,1.24,,,,,
ORGT,2022,18.17,8.91,1.67,1.37,,,,,
ORGT,2021,25.11,11.25,1.95,1.21,,,,,
PALC,2025,6.32,50.36,0.80,3.20,,,,,
PALC,2024,3.67,20.16,0.70,2.01,,,,,
PALC,2023,3.31,120.10,1.14,3.68,,,,,
PALC,2022,14.90,237.44,1.70,4.24,,,,,
PALC,2021,15.02,27.45,1.02,6.74,,,,,
PRSC,2025,10.37,157.94,2.07,2.73,,,,,
PRSC,2024,8.95,38.09,2.00,2.16,,,,,
PRSC,2023,8.49,12.10,2.67,2.82,,,,,
PRSC,2022,15.81,25.06,4.17,3.58,,,,,
PRSC,2021,15.15,27.05,3.25,2.84,,,,,
SAFC,2025,,7.78,1.25,1.65,,,,,
SAFC,2024,,6.10,1.38,1.30,,,,,
SAFC,2023,,6.51,1.16,1.24,,,,,
SAFC,2022,,8.91,1.24,1.37,,,,,
SAFC,2021,,11.25,0.51,1.21,,,,,
SCRC,2025,6.26,50.36,0.67,3.20,,,,,
SCRC,2024,,20.16,0.57,2.01,,,,,
SCRC,2023,,120.10,0.39,3.68,,,,,
SCRC,2022,3.78,237.44,0.51,4.24,,,,,
SCRC,2021,7.88,27.45,0.40,6.74,,,,,
SDCC,2025,13.52,13.15,2.88,3.44,,,,,
SDCC,2024,9.46,9.95,2.36,2.81,,,,,
SDCC,2023,9.63,10.65,2.40,2.96,,,,,
SDCC,2022,10.17,10.50,2.54,3.14,,,,,
SDCC,2021,8.81,8.94,2.19,2.76,,,,,
SDSC,2025,4.05,8.18,0.68,3.74,,,,,
SDSC,2024,5.63,20.90,1.22,2.76,,,,,
SDSC,2023,7.12,29.92,1.45,2.37,,,,,
SDSC,2022,7.70,39.33,2.47,2.69,,,,,
SDSC,2021,8.16,8.87,2.76,2.13,,,,,
SEMC,2025,17.42,8.18,1.35,3.74,,,,,
SEMC,2024,17.42,20.90,1.35,2.76,,,,,
SEMC,2023,6.37,29.92,1.47,2.37,,,,,
SEMC,2022,13.49,39.33,2.44,2.69,,,,,
SEMC,2021,16.34,8.87,2.01,2.13,,,,,
SGBC,2025,7.13,7.78,1.61,1.65,,,,,
SGBC,2024,6.20,6.10,1.47,1.30,,,,,
SGBC,2023,6.30,6.51,1.32,1.24,,,,,
SGBC,2022,6.27,8.91,1.21,1.37,,,,,
SGBC,2021,5.66,11.25,0.32,1.21,,,,,
SHEC,2025,13.49,13.50,2.40,3.05,,,,,
SHEC,2024,13.59,12.23,2.29,2.79,,,,,
SHEC,2023,15.68,11.60,2.46,2.78,,,,,
SHEC,2022,15.30,13.89,2.71,2.82,,,,,
SHEC,2021,2.34,43.69,2.16,2.27,,,,,
SIBC,2025,8.69,7.78,2.33,1.65,,,,,
SIBC,2024,6.77,6.10,1.80,1.30,,,,,
SIBC,2023,6.59,6.51,1.76,1.24,,,,,
SIBC,2022,6.68,8.91,1.76,1.37,,,,,
SIBC,2021,5.61,11.25,1.53,1.21,,,,,
SICC,2025,112.31,50.36,,3.20,,,,,
SICC,2024,24.22,20.16,0.59,2.01,,,,,
SICC,2023,806.60,120.10,1.12,3.68,,,,,
SICC,2022,1756.52,237.44,1.43,4.24,,,,,
SICC,2021,146.66,27.45,0.65,6.74,,,,,
SIVC,2025,5.13,8.18,1.43,3.74,,,,,
SIVC,2024,10.86,20.90,1.98,2.76,,,,,
SIVC,2023,10.10,29.92,1.90,2.37,,,,,
SIVC,2022,,39.33,3.22,2.69,,,,,
SIVC,2021,,8.87,1.44,2.13,,,,,
SLBC,2025,14.39,50.36,1.62,3.20,,,,,
SLBC,2024,36.88,20.16,1.02,2.01,,,,,
SLBC,2023,70.36,120.10,0.95,3.68,,,,,
SLBC,2022,11.16,237.44,1.62,4.24,,,,,
SLBC,2021,8.82,27.45,1.18,6.74,,,,,
SMBC,2025,6.04,13.50,1.62,3.05,,,,,
SMBC,2024,6.62,12.23,2.86,2.79,,,,,
SMBC,2023,7.18,11.60,2.75,2.78,,,,,
SMBC,2022,6.13,13.89,2.57,2.82,,,,,
SMBC,2021,144.14,43.69,2.64,2.27,,,,,
SNTS,2025,6.64,9.82,2.05,2.67,,,,,
SNTS,2024,6.32,8.97,1.97,2.46,,,,,
SNTS,2023,5.84,7.70,1.81,2.31,,,,,
SNTS,2022,6.10,7.33,1.83,2.76,,,,,
SNTS,2021,6.65,7.23,1.79,2.54,,,,,
SOGC,2025,15.64,50.36,2.02,3.20,,,,,
SOGC,2024,12.47,20.16,1.29,2.01,,,,,
SOGC,2023,6.31,120.10,1.42,3.68,,,,,
SOGC,2022,11.07,237.44,2.01,4.24,,,,,
SOGC,2021,11.61,27.45,1.38,6.74,,,,,
SPHC,2025,14.62,50.36,1.19,3.20,,,,,
SPHC,2024,17.53,20.16,0.72,2.01,,,,,
SPHC,2023,5.10,120.10,0.87,3.68,,,,,
SPHC,2022,10.26,237.44,1.44,4.24,,,,,
SPHC,2021,13.67,27.45,0.98,6.74,,,,,
STAC,2025,,8.18,14.26,3.74,,,,,
STAC,2024,,20.90,9.85,2.76,,,,,
STAC,2023,4.22,29.92,6.35,2.37,,,,,
STAC,2022,13.31,39.33,6.12,2.69,,,,,
STAC,2021,4.11,8.87,4.61,2.13,,,,,
STBC,2025,9.94,50.36,6.85,3.20,,,,,
STBC,2024,10.09,20.16,5.94,2.01,,,,,
STBC,2023,10.67,120.10,6.23,3.68,,,,,
STBC,2022,11.69,237.44,6.63,4.24,,,,,
STBC,2021,6.37,27.45,3.71,6.74,,,,,
SVOC,2025,,8.18,,3.74,,,,,
SVOC,2024,,20.90,,2.76,,,,,
SVOC,2023,,29.92,,2.37,,,,,
SVOC,2022,,39.33,,2.69,,,,,
